"datetime","Relative_Humidity_percent","Rainfall_millimeterPerDay","Surface_Level_Barometric_Pressure_pascal","Longwave_Radiation_Downwelling_wattPerMeterSquared","Shortwave_Radiation_Downwelling_wattPerMeterSquared","Ten_Meter_Elevation_Wind_Speed_meterPerSecond","Air_Temperature_celsius"
"1901-04-03",75.60266,9.545085e-05,97167.12,299.3585,62.97409,4.689928,275.2096
"1901-04-04",80.02422,0.0001384789,96679.25,304.2766,76.37079,5.658269,275.0853
"1901-04-05",83.43044,1.651509e-05,97163.62,314.0885,126.6544,2.503875,277.4333
"1901-04-06",78.17525,1.228617e-05,96681.26,309.0607,119.0517,1.597136,277.8323
"1901-04-07",79.62441,0.0001199321,96155.17,313.437,30.313,3.962785,277.7875
"1901-04-08",76.64752,6.926615e-05,96144.24,316.9908,94.83223,2.777328,278.2566
"1901-04-09",74.20236,2.509334e-05,96429.12,296.736,141.4052,3.657357,277.6162
"1901-04-10",74.60779,7.51859e-05,96962.34,304.553,63.52711,4.555982,277.9098
"1901-04-11",65.04009,1.396713e-05,97440.36,282.015,207.9801,4.935227,275.4021
"1901-04-12",51.72179,0,98068.88,255.8252,279.0999,3.949097,277.9046
"1901-04-13",49.63514,0,98150.96,232.7023,296.0581,2.38543,279.5042
"1901-04-14",50.31512,0,98092.52,242.4002,294.4785,2.33982,279.3273
"1901-04-15",64.60986,2.027137e-05,98130.64,275.8723,97.55663,4.317134,276.4373
"1901-04-16",65.32768,1.887181e-05,98056.55,292.817,60.55891,3.653918,275.454
"1901-04-17",59.18368,2.706472e-06,98142.87,269.705,276.9111,2.608039,278.2165
"1901-04-18",71.12482,2.474817e-06,98288.38,286.5158,122.7322,2.42233,277.4843
"1901-04-19",83.85492,0.000103047,97996.36,315.8276,65.66035,1.834506,279.0511
"1901-04-20",72.15536,5.254561e-05,97999.51,315.4552,125.5204,2.763355,279.0321
"1901-04-21",71.74059,0.0001612322,97685.27,308.4489,42.50269,6.060253,276.4488
"1901-04-22",84.86366,0.0002988542,97086.08,344.1198,65.95557,5.126265,283.5177
"1901-04-23",80.27487,1.295917e-05,97954.92,340.8334,123.9935,3.57414,283.1875
"1901-04-24",82.5863,6.805177e-05,97730.54,331.2236,96.37479,2.995987,281.0777
"1901-04-25",86.18004,0.0001318968,97332.84,328.907,45.484,4.311912,280.0161
"1901-04-26",71.25752,5.51584e-06,97947.94,265.9462,256.1969,3.912306,277.7621
"1901-04-27",48.00951,0,98837.22,240.7675,271.9534,3.96406,279.9326
"1901-04-28",37.4945,0,99263.77,282.7437,291.4364,1.814411,284.2516
"1901-04-29",42.38275,0,98595.07,277.3913,311.2875,2.504388,286.206
"1901-04-30",56.91075,0,98087.85,269.4765,314.3798,1.900124,284.1017
"1901-05-01",51.39923,0,97381.14,272.3,313.1234,2.271664,283.3296
"1901-05-02",47.28325,0,97069.34,273.1451,235.5876,3.017634,283.1503
"1901-05-03",54.67249,7.65788e-06,96262.3,299.5062,272.6102,5.720959,283.4703
"1901-05-04",32.65477,0,97171.66,223.556,324.0573,6.911208,276.6975
"1901-05-05",45.78743,0,96885.88,238.6545,325.5443,4.945761,279.067
"1901-05-06",48.0168,0,97336.95,269.4534,277.2651,2.203205,280.8453
"1901-05-07",48.55911,0,97067.51,287.2443,296.9337,2.967283,284.8868
"1901-05-08",60.87772,0,97376.73,296.5505,293.0316,2.875881,288.1321
"1901-05-09",64.94552,0,97775.68,317.6619,233.6451,2.230133,287.4418
"1901-05-10",87.59087,2.420671e-05,97835.41,355.7518,78.44854,2.140591,285.7611
"1901-05-11",83.96648,7.580012e-05,96973.29,365.0906,143.5408,2.174685,287.8295
"1901-05-12",71.80721,8.8826e-05,96635.73,349.2655,283.4787,3.569629,291.3988
"1901-05-13",72.38986,6.678527e-05,97110.62,316.4678,114.8915,2.402704,286.1535
"1901-05-14",70.52969,4.110558e-05,97396.41,314.3888,246.2364,3.412058,284.6708
"1901-05-15",69.56177,1.967987e-05,98237.45,289.4527,295.9298,1.979444,285.5106
"1901-05-16",70.33517,1.888553e-05,98136.95,290.2713,303.7255,2.240073,284.7531
"1901-05-17",61.57904,1.111587e-05,97883.29,289.9536,261.739,1.390645,284.3159
"1901-05-18",92.46973,8.636686e-05,97319.24,332.1618,71.78433,2.410363,283.1256
"1901-05-19",92.74729,7.077741e-05,97367.95,319.7734,131.6326,2.193404,279.9394
"1901-05-20",87.46991,0.0001646352,97638.01,330.4803,81.07639,4.780133,280.9081
"1901-05-21",63.26343,2.485194e-06,97850.02,326.3898,249.8175,1.639207,285.6304
"1901-05-22",80.84713,2.419478e-05,97483.08,352.0391,83.49236,1.816594,288.2997
"1901-05-23",71.62475,1.407721e-05,96823.09,355.1495,277.206,3.107541,292.1027
"1901-05-24",73.27115,3.490806e-05,96926.39,321.6105,181.7476,2.583928,288.6972
"1901-05-25",79.66998,0.0002731694,97671.94,333.021,142.3295,3.412895,281.951
"1901-05-26",53.63486,0,97936.9,250.2963,307.5584,1.678554,279.8275
"1901-05-27",51.61182,1.589908e-05,97136.09,316.7397,67.47718,1.80942,279.9736
"1901-05-28",70.44849,7.655433e-05,96220.67,330.9545,227.8755,4.141167,283.9206
"1901-05-29",94.91039,0.0001628055,96517.66,334.3515,41.09924,1.800399,280.1904
"1901-05-30",93.04054,8.310476e-05,96836.96,315.6666,144.9794,1.479182,278.7688
"1901-05-31",89.81281,4.804053e-05,96790.02,329.3142,200.4948,1.506829,281.9984
"1901-06-01",82.14894,5.71629e-05,96947.97,324.7972,211.0461,1.571891,283.5166
"1901-06-02",71.99745,0,97064.23,293.5053,261.8766,2.024548,284.0717
"1901-06-03",73.52426,2.713646e-05,96898.62,330.5776,284.054,2.311695,287.4665
"1901-06-04",62.89238,1.646055e-06,97204.41,288.3048,350.33,2.818447,286.9415
"1901-06-05",56.79669,0,97503.92,301.6436,324.8182,2.577164,288.2328
"1901-06-06",61.31816,0,97540.53,336.3652,303.7483,2.706362,293.4145
"1901-06-07",82.12381,0.0001153269,97263.52,369.8594,128.2482,2.016629,293.9793
"1901-06-08",72.03024,7.556085e-06,96936.05,314.0789,204.3476,3.317791,286.3188
"1901-06-09",57.66676,1.231294e-06,97283.41,295.7596,327.5065,5.39196,287.056
"1901-06-10",51.18922,0,97893.91,283.7346,352.61,3.887022,287.153
"1901-06-11",46.78348,0,98039.31,293.2112,331.3211,2.204863,288.4655
"1901-06-12",62.56667,0,98002.49,318.5423,309.745,2.898536,290.2183
"1901-06-13",54.35035,0,98477.57,307.3396,274.5993,2.186578,288.9347
"1901-06-14",78.04533,1.907002e-05,97867.65,363.7039,239.9114,2.805589,292.779
"1901-06-15",70.20291,1.833365e-05,97674.48,316.2311,345.4888,2.305379,290.5974
"1901-06-16",50.49277,0,97998.74,286.8172,358.6703,2.34744,286.83
"1901-06-17",46.41603,0,97828.31,274.3533,360.8032,2.251908,287.0532
"1901-06-18",54.78694,0,97601.66,297.8786,356.3631,1.453151,288.554
"1901-06-19",55.27003,1.089032e-05,97662.65,318.3114,299.9581,2.092762,290.1796
"1901-06-20",63.55146,1.349273e-06,98027.56,323.4811,324.9695,1.988561,290.942
"1901-06-21",65.24084,6.742078e-06,98021.09,346.9207,252.2109,1.93422,293.5577
"1901-06-22",69.2364,4.979894e-06,97634.07,340.0909,327.3112,1.204386,294.0811
"1901-06-23",78.21203,0.0001233118,96849.38,367.7665,261.6644,3.211366,293.7697
"1901-06-24",66.99879,1.182617e-05,96802.09,335.8838,187.8439,4.271741,290.7985
"1901-06-25",69.09395,1.884125e-06,97644.25,329.1576,291.5884,2.904575,290.7926
"1901-06-26",61.54235,0,97920.23,327.7206,308.3622,2.448506,292.7914
"1901-06-27",63.18136,0,97822.01,346.2078,292.8282,2.125111,294.7871
"1901-06-28",66.61269,1.086062e-05,97099.47,392.7493,248.6828,3.463331,299.4896
"1901-06-29",75.56384,1.472505e-05,97018.08,390.9444,307.224,2.571965,300.0617
"1901-06-30",59.19475,8.695644e-06,97068.98,378.98,314.2336,3.87531,300.035
"1901-07-01",61.58143,0,97494.92,390.1663,295.7489,3.100244,300.0734
"1901-07-02",72.51443,4.539939e-05,97498,407.0767,251.0261,2.300383,300.653
"1901-07-03",66.6547,1.314882e-05,97251.98,378.3757,207.4053,4.305528,296.9455
"1901-07-04",64.06165,0,97417.55,335.5172,205.2636,2.49605,290.9208
"1901-07-05",77.4023,0.0001998976,97259.8,366.0559,155.6021,2.00939,290.9033
"1901-07-06",89.14044,9.278393e-05,97327.11,370.7556,81.53453,2.033694,289.1188
"1901-07-07",88.123,5.07708e-05,97143.27,381.5908,169.8031,2.092621,291.4112
"1901-07-08",77.19048,5.866353e-05,97301.5,346.7757,281.6081,2.365051,292.8241
"1901-07-09",82.92729,1.522513e-05,98216.47,361.301,139.646,1.853026,289.2279
"1901-07-10",76.92363,3.238886e-06,97993.24,344.2234,250.654,1.408999,290.9825
"1901-07-11",69.72556,3.753182e-06,97337.58,368.5464,153.5914,1.845678,291.9534
"1901-07-12",59.76104,5.453512e-06,97769.48,337.4998,234.623,2.932295,290.5199
"1901-07-13",59.03613,0,98291.97,303.8592,275.056,1.59988,289.6365
"1901-07-14",63.71622,0,98121.91,334.5874,122.6112,2.048139,290.5472
"1901-07-15",63.02419,0,97524.28,353.4928,270.8179,2.453697,295.1414
"1901-07-16",72.0586,4.593351e-05,97080.34,363.6813,311.1397,2.03921,296.501
"1901-07-17",62.58765,3.685169e-06,96873.61,374.7203,255.1848,2.109018,297.1664
"1901-07-18",70.80348,0,96860.88,367.9496,273.4124,1.989071,297.1487
"1901-07-19",80.6335,0.0001454231,97027.26,376.6617,218.9553,2.29108,293.9295
"1901-07-20",64.37576,2.257157e-06,97355.78,333.7367,221.6022,1.726604,290.7483
"1901-07-21",63.2871,0,97185.45,352.6675,273.2006,2.970028,294.5904
"1901-07-22",56.33927,0,97107.52,375.8167,282.3976,3.482799,299.4931
"1901-07-23",62.87458,0,97413.21,354.3624,254.5458,2.537613,294.6892
"1901-07-24",53.21846,0,97395.16,322.6651,288.3165,2.593935,291.7243
"1901-07-25",51.6128,0,97436.48,299.3595,336.051,2.699193,289.2278
"1901-07-26",46.30132,0,97819.01,285.6235,333.8216,2.236371,287.6984
"1901-07-27",48.79032,0,98180.88,295.6079,308.3753,1.474094,289.1891
"1901-07-28",73.36828,4.124178e-05,97815.43,332.3262,108.8733,2.399933,288.1951
"1901-07-29",96.48628,0.0001194794,97183.77,392.7901,44.79794,1.629424,289.9836
"1901-07-30",83.32668,1.576123e-05,97135.24,379.7712,163.9004,3.577449,293.0853
"1901-07-31",73.04785,1.546891e-06,96975.88,362.0425,296.398,3.049825,295.4106
"1901-08-01",70.79446,0,97019.87,338.529,254.5342,2.84643,292.7303
"1901-08-02",66.31273,0,97402.24,332.2605,255.899,2.055681,292.5092
"1901-08-03",59.8129,0,97165.96,353.8304,286.216,1.471747,294.83
"1901-08-04",63.27431,0,97201.21,365.1327,241.2007,2.098674,295.7873
"1901-08-05",65.20149,0,97793.22,324.036,271.26,2.665605,291.2559
"1901-08-06",61.16916,0,98461.32,320.9246,285.4223,2.288247,290.8243
"1901-08-07",90.53454,0.0001250344,98049.8,384.9298,91.25652,2.043097,290.8291
"1901-08-08",78.15197,6.310567e-05,97431.02,371.3857,234.9426,2.507881,294.7049
"1901-08-09",56.71926,0,97457.09,339.4372,290.384,3.066972,294.3669
"1901-08-10",63.14345,5.552699e-06,97584.77,357.2017,253.0311,2.828086,294.6706
"1901-08-11",81.06752,4.388687e-05,97126.04,393.6134,142.965,2.792326,295.8414
"1901-08-12",93.56986,3.909854e-05,97767.01,377.1502,49.53496,1.913657,290.8474
"1901-08-13",83.98303,1.332469e-05,97889.19,383.4069,151.8928,1.104311,292.5155
"1901-08-14",70.43897,0,97745.27,353.7146,227.6292,1.300549,293.4051
"1901-08-15",84.37782,2.198236e-05,97615.43,372.8811,162.4737,1.753227,293.5959
"1901-08-16",83.47818,6.412848e-05,97258.45,383.1864,215.2967,2.319237,294.4208
"1901-08-17",71.27254,0,97578.41,329.7657,231.2208,2.175614,292.2162
"1901-08-18",66.92291,0,97623.97,341.7217,160.9727,1.626777,291.6463
"1901-08-19",67.44538,2.437054e-05,97917.09,342.1352,77.81337,1.681019,288.0191
"1901-08-20",88.55585,0.0001145256,97973.35,376.7318,107.3023,1.582557,289.0306
"1901-08-21",82.89813,5.472938e-06,97907.4,366.295,177.6677,1.604119,292.0987
"1901-08-22",85.31118,1.983788e-05,97916.33,369.0096,188.4311,1.734865,292.7149
"1901-08-23",89.01923,5.055801e-05,98017.96,384.6516,131.2723,2.240308,293.4869
"1901-08-24",86.71143,8.727373e-05,97616.33,400.8163,172.6418,2.101,296.0874
"1901-08-25",80.54352,8.556235e-06,97542.02,372.17,178.9479,2.32392,294.9477
"1901-08-26",66.3938,7.493631e-06,97652.8,334.4309,268.7115,2.286085,293.3129
"1901-08-27",68.35056,0,97807.61,335.2449,192.9407,1.190833,291.5613
"1901-08-28",73.40628,0,98117.78,338.829,241.964,0.8851862,291.743
"1901-08-29",71.83924,0,97926.31,335.7073,268.3034,1.65013,293.5767
"1901-08-30",64.04948,0,97434.23,349.5174,261.4955,2.238696,295.6213
"1901-08-31",68.22757,0,97328.12,345.1899,268.3708,2.19576,295.4971
"1901-09-01",83.57169,2.339611e-05,97517.87,363.6395,111.7848,2.244139,291.4167
"1901-09-02",78.36891,4.909038e-05,97487.62,361.4655,162.7267,1.957848,290.8883
"1901-09-03",72.52856,3.236198e-06,97709.96,345.4185,112.1711,1.319225,289.9962
"1901-09-04",74.67417,0,97571.57,313.8701,255.1556,2.2753,288.7979
"1901-09-05",65.85738,0,97918.71,314.2314,254.3918,2.069239,290.2516
"1901-09-06",70.71104,0,98013.16,319.3402,249.1817,1.77983,289.5236
"1901-09-07",66.40569,0,97765.93,329.1618,251.6526,2.363518,293.5981
"1901-09-08",58.18255,0,97541.16,311.8845,250.8371,3.766521,289.5675
"1901-09-09",48.94732,0,97655.93,263.9678,204.2491,2.573663,283.0376
"1901-09-10",50.9268,0,97623.33,268.6752,253.2604,1.954666,284.5032
"1901-09-11",73.26186,0.0002192014,97225.51,340.3591,71.92304,2.084993,284.0143
"1901-09-12",95.14859,0.0002134458,97080.45,334.2083,34.31256,1.60403,282.147
"1901-09-13",92.7198,2.451184e-05,96152.12,374.8121,125.0731,1.369101,289.1382
"1901-09-14",83.79376,1.516828e-05,96891.8,333.1062,170.3054,2.117174,287.4175
"1901-09-15",85.08865,4.982695e-05,97241.5,329.7118,78.28394,2.157869,285.6838
"1901-09-16",76.40774,0.0001638712,96678.22,358.0085,175.7328,4.870855,293.1018
"1901-09-17",69.43102,0.0002710779,97132.9,347.5186,31.53579,2.848254,287.456
"1901-09-18",97.21562,0.0002759612,97123.51,360.8956,28.55116,1.574098,285.2302
"1901-09-19",84.02774,0.0004005218,97456.1,330.0935,151.0479,2.941807,282.3816
"1901-09-20",77.24113,2.39218e-06,98222.66,282.783,150.0482,2.100807,281.0915
"1901-09-21",72.17669,3.583955e-06,97759.92,286.1769,215.9561,3.502238,282.1387
"1901-09-22",64.47998,0,98316.41,257.6545,227.11,1.977514,281.7181
"1901-09-23",69.1339,0,98223.44,278.8216,222.6136,2.151069,285.0754
"1901-09-24",71.86464,0,97872.74,323.7152,164.5694,2.647032,289.5482
"1901-09-25",41.71542,0,98385.69,269.9706,201.0397,4.041133,281.8615
"1901-09-26",54.96552,0,98698.38,251.6548,193.8759,1.874615,279.0115
"1901-09-27",65.38338,0,98863.71,280.6099,210.7574,2.156525,282.5398
"1901-09-28",75.4455,0,98534.62,321.2694,87.36788,2.083947,284.2064
"1901-09-29",98.75552,0.0005240391,97625.7,385.7852,16.27797,2.778325,288.982
"1901-09-30",83.96385,0.0002129144,97028.13,367.0119,180.8251,4.585491,292.9873
"1901-10-01",76.92448,0,97975.83,281.035,205.4647,2.478021,286.1699
"1901-10-02",89.24073,6.918047e-05,97118.49,350.6863,50.17833,3.825559,285.4494
"1901-10-03",78.48361,3.517004e-05,96171.75,292.846,185.0863,3.446184,281.618
"1901-10-04",59.02542,2.526178e-06,97005.43,244.0629,161.5518,3.420084,277.1902
"1901-10-05",75.27708,3.19636e-06,98305.65,246.4977,191.7975,2.48048,277.2899
"1901-10-06",75.8793,0,98021.3,284.1939,140.3549,3.285212,279.476
"1901-10-07",66.79388,0,98852.89,249.7232,189.7364,2.132553,278.6754
"1901-10-08",65.76788,0,98646.66,281.275,151.2881,2.097635,281.2644
"1901-10-09",75.59277,0,98062.62,329.8994,81.5257,2.154498,284.2246
"1901-10-10",89.10059,5.495186e-05,98215.62,358.7437,76.09792,1.831592,285.7758
"1901-10-11",82.58955,0,98366.73,329.9636,163.8353,1.751079,287.5773
"1901-10-12",89.21062,9.484649e-06,97772.25,348.6006,76.38468,2.552629,287.4355
"1901-10-13",92.11664,2.946e-05,97288.68,377.6393,50.9061,3.388084,288.883
"1901-10-14",94.35462,0.0001697514,97151.41,395.038,14.61516,2.898172,290.0899
"1901-10-15",89.72867,0.0001141279,97458.65,353.887,61.17689,2.799496,284.1396
"1901-10-16",78.06046,0,97891.1,277.5349,161.5393,2.236644,282.1437
"1901-10-17",82.51603,8.909532e-06,97294.64,316.1487,93.94761,2.875948,285.0006
"1901-10-18",65.53442,0,97317.09,247.8193,172.7001,4.117818,278.8685
"1901-10-19",64.41253,0,97693.97,252.938,129.1519,3.131084,278.076
"1901-10-20",62.63414,0,98125.48,247.491,166.6499,3.090325,279.7169
"1901-10-21",50.53138,0,98405.6,248.798,142.4892,2.711658,278.9857
"1901-10-22",70.26858,0,98046.49,279.8218,131.4082,2.857136,280.8831
"1901-10-23",68.59405,0,96848.16,299.811,99.33004,3.501152,283.2716
"1901-10-24",59.06824,1.682146e-06,96516.18,275.9567,152.6052,5.552419,279.6175
"1901-10-25",56.59566,0,97635.23,237.1658,155.8938,4.788956,275.3135
"1901-10-26",56.75846,0,98090.8,252.1246,145.2532,2.349757,277.2471
"1901-10-27",66.33765,0,97837.18,278.8893,123.071,2.815418,281.4294
"1901-10-28",66.39545,1.299074e-05,98581.07,273.6567,147.3343,2.63289,278.5269
"1901-10-29",58.02391,0,99501.58,257.2391,133.506,1.739293,277.6341
"1901-10-30",78.05961,0,99042.73,275.5378,99.88702,1.705776,279.8369
"1901-10-31",81.31998,0,98304.59,285.5714,130.2565,2.670829,283.8283
"1901-11-01",84.29704,2.850553e-05,97719.73,352.3093,28.49428,3.572573,287.0498
"1901-11-02",68.54951,0,98100.13,262.6678,139.1182,2.625653,281.301
"1901-11-03",65.21779,0,98519.59,244.3211,137.3417,2.413973,278.6789
"1901-11-04",60.92556,0,97674.88,243.2712,132.1202,1.877272,277.6261
"1901-11-05",81.23832,3.105182e-05,97573.46,294.6932,32.59786,2.4581,276.9998
"1901-11-06",69.04633,7.210276e-06,97805.09,267.6332,105.4747,3.194483,273.4734
"1901-11-07",47.21267,0,97603.88,228.38,82.55138,2.26203,271.6502
"1901-11-08",51.13499,0,97072.71,267.9802,101.9327,2.578415,275.0708
"1901-11-09",72.32101,0,97603.56,257.9666,90.70232,2.179842,275.3435
"1901-11-10",57.68774,0,97831.09,231.5374,125.7873,4.904595,273.8234
"1901-11-11",55.13593,3.316804e-05,98062.43,273.94,14.61212,2.901237,271.814
"1901-11-12",88.38253,0.0001093242,96380.26,323.7194,10.59989,2.243559,276.2141
"1901-11-13",77.74115,8.534477e-06,95482.79,271.3628,65.43092,4.515467,275.0045
"1901-11-14",70.80791,3.789432e-05,94996.48,275.076,24.83545,4.57355,273.8231
