!datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Surface_Level_Barometric_Pressure_pascal	Air_Temperature_celsius	Relative_Humidity_percent	Cloud_Cover_decimalFraction	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerSecond
2006-02-14 00:00:00	-0.040625	-0.83027344	96088.445	-16.811499	82.836998	0.54801077	187.83243	0
2006-02-15 00:00:00	2.8082032	-2.3118164	95645.375	-13.170447	78.147179	0.80429146	136.52947	6.3212787e-14
2006-02-16 00:00:00	4.9867188	-4.6515625	97129.008	-18.648413	76.908432	0.30306388	225.28491	0
2006-02-17 00:00:00	1.2771484	-2.0452149	97834.656	-16.69248	81.569031	0.18533325	236.57344	0
2006-02-18 00:00:00	0.76044922	-0.42148438	97421.391	-12.048956	84.903206	0.46803673	213.06288	0
2006-02-19 00:00:00	1.1666992	1.5221679	97574.961	-8.0563416	81.446075	0.45246946	217.18434	0
2006-02-20 00:00:00	3.4137696	2.0807617	96795.336	-1.137793	69.801842	0.6053668	191.7848	0
2006-02-21 00:00:00	5.2799804	-1.0359375	96551.141	-1.7395081	70.404152	0.65515371	183.98409	7.7669326e-14
2006-02-22 00:00:00	5.3167969	-4.0447265	97406.859	-7.4259399	64.577301	0.52472763	214.24666	5.7703055e-14
2006-02-23 00:00:00	0.2234375	1.9791992	96931.344	-4.3206543	72.653587	0.94509886	110.18794	1.0024515e-13
2006-02-24 00:00:00	3.7171875	-0.4836914	96622.656	-0.11884155	68.627861	0.50244074	221.18355	0
2006-02-25 00:00:00	-0.33261719	3.3274414	96902.672	1.7409302	72.651299	0.65857152	191.44688	4.1433176e-14
2006-02-26 00:00:00	-0.11425781	-1.0410156	96271.117	3.7805115	85.100075	1	58.595541	2.5134179e-12
2006-02-27 00:00:00	-1.7113281	-1.6884765	96558.297	-0.1980957	87.31675	1	30.529353	4.5844482e-12
2006-02-28 00:00:00	2.9186524	-3.3909179	97494.711	-0.93128052	74.991898	0.46027182	239.95258	1.9724397e-12
2006-03-01 00:00:00	3.1243164	-2.4565429	98983.562	-5.0540527	60.121754	0.40516696	254.5226	0
2006-03-02 00:00:00	2.7320312	-2.4540039	98570.977	-7.9230103	59.636219	0.50782547	240.95018	0
2006-03-03 00:00:00	2.3422851	-2.8386719	98808.625	-8.7905029	56.989918	0.44526975	255.66412	0
2006-03-04 00:00:00	0.68046875	2.5669922	98602.492	-1.7745117	59.386616	0.3354704	272.85441	0
2006-03-05 00:00:00	-0.68046875	2.8234375	98029.547	3.7083679	79.791687	1	94.295691	5.414822e-13
2006-03-06 00:00:00	-0.63222657	0.53828125	97318.453	8.4938904	85.610924	0.88658292	142.08629	1.6246412e-12
2006-03-07 00:00:00	-1.2276367	-0.61826172	97617.984	6.1937195	86.068825	0.95676156	119.98549	9.1038493e-14
