Depth [m]	U [m/s]	V [m/s]	T [deg C]	k [J/kg]	eps [W/kg]
-0	0	0	4	3e-6	5e-10
-0.5	0	0	4	3e-6	5e-10
-2	0	0	4	3e-6	5e-10
-5	0	0	4	3e-6	5e-10
-10	0	0	4	3e-6	5e-10
-13	0	0	4	3e-6	5e-10
-15	0	0	4	3e-6	5e-10
-20	0	0	4	3e-6	5e-10
-25	0	0	4	3e-6	5e-10
