par_id,rmse,nse,r,bias,mae,nmae
p0001,3.25471147912187,0.799021661135432,0.929637634217928,-1.68224385449499,2.47981599042742,0.945453144089864
p0002,3.26130857110286,0.798206094947368,0.973421992150019,2.7979287217737,2.98080397336834,2.66671922604049
p0003,2.83079839744427,0.847965502439669,0.976998568443091,2.36823393723072,2.49466336333153,2.19135764496818
p0004,4.18938270841129,0.667015258783853,0.900542368340063,-2.24283021198192,3.17914265994904,1.24629912716859
p0005,2.15135749029212,0.912188898099975,0.962689398300261,0.753281052222888,1.67906241098089,1.52461799758843
p0006,5.70152248035733,0.38325456572565,0.84045258529177,-3.72238029371099,4.24893755945745,0.916347075954841
p0007,2.14447036711459,0.912750216116004,0.961630606101239,-0.397143500603342,1.69586188553385,1.39166568448081
p0008,2.3019751686449,0.899463090651207,0.964231671542583,-0.922867398521848,1.87715965802502,1.14442768464279
p0009,2.51044504788541,0.880429044480224,0.976721402385172,1.9513592382413,2.11397870281977,2.03223618630713
p0010,2.06947153107474,0.918746294860341,0.965613263332042,0.524940321169196,1.53968284313388,1.62949791122877
p0011,3.19526625930781,0.806296098588345,0.974747964530687,2.75021501072052,2.79907420447461,2.25723712693842
p0012,2.16628902808268,0.910965758905472,0.966303913063609,1.00698535913596,1.7114211452191,1.58844012475531
p0013,2.40119121865774,0.890609966850842,0.968553912672245,1.53264758550979,1.89924768616028,1.7539443877593
p0014,2.61705749127516,0.870057628773674,0.970267292326788,1.82878978160678,2.22383537010068,2.45347461617133
p0015,4.20641737950461,0.664301819534313,0.973103952534878,3.85013311433543,3.90538678658658,2.85474145902595
p0016,1.99868198654967,0.924210043512285,0.96778276156219,0.475831269780805,1.53121780199977,1.69012761393314
p0017,4.17246868668702,0.669698585719727,0.971761326766838,3.80343569528861,3.89560719853526,3.01213974547133
p0018,2.40200075978146,0.890536194585163,0.967996444419803,1.43080797244653,1.90968068276544,2.11409363362389
p0019,2.07146784976587,0.91858945624228,0.962673130766368,-0.174289029343996,1.62889753630316,1.38235320566087
p0020,3.39010653709938,0.781952579129688,0.975876989527729,2.9967557505631,3.10602785440168,2.57538938913835
p0021,2.09555963757913,0.916684786617589,0.966734968288309,0.897500988189971,1.62897736372847,1.56762253925387
p0022,4.19792205924502,0.665656408711419,0.970048151466359,3.80864002627108,3.92705613572369,3.18627825392954
p0023,2.17707674198785,0.910076803273636,0.968565211753495,1.15181913460921,1.71833699389065,1.65265477133315
p0024,2.92896916462206,0.8372376842766,0.972425443696637,2.34996320347205,2.61275250352838,2.5841428228192
p0025,4.58130786004145,0.601798203503004,0.970577782846056,4.22244707753743,4.28521092685284,3.07854264907218
p0026,4.8930985544059,0.545752874808783,0.970058012064378,4.55856803279396,4.62012009442032,3.39175922305586
p0027,3.49770116623723,0.767892237669138,0.905884647786862,-1.2337996423265,2.64048609879625,1.62210401744262
p0028,4.74634214348046,0.572592298057423,0.970914505544311,4.41069768575385,4.46292999775664,3.24606443224272
p0029,3.38571818737068,0.782516720118726,0.921757501838821,-1.71077318965025,2.62666688218531,0.935728514195524
p0030,4.33935131999129,0.642748643622256,0.87266220861778,-2.25410446728606,3.25166834126945,1.24901587612081
p0031,2.9756652448472,0.832006527926045,0.977209232285472,2.54363499198285,2.65478358223128,2.32905622926678
p0032,4.19528936450863,0.666075639267606,0.972029644149678,3.82624722032162,3.89754981888466,2.87939044431731
p0033,2.12892954660725,0.914010219589773,0.968707587458444,1.02401245070427,1.60432417660117,1.6170605102995
p0034,4.17338928584371,0.669552816501871,0.893043221705275,-2.34079700581048,3.17307590796742,1.05927413943263
p0035,2.64612466596538,0.867155107023413,0.971523245201544,1.93437621016772,2.2703095495588,2.3621564491456
p0036,2.56484568622948,0.875190758769351,0.977703040183151,2.05496057382145,2.22078622892653,2.05522642248934
p0037,3.20467273398146,0.805153938485215,0.9205544971691,-1.15706076093459,2.43909888174544,1.41335592663925
p0038,2.04812612968697,0.9204138204046,0.962470080571924,0.0797984512093594,1.60482691587642,1.38472936039936
p0039,1.96302051489689,0.926890479141719,0.96589605809846,0.0865354260295459,1.5495321442093,1.24658858095661
p0040,3.04318891646351,0.824295822170264,0.914356302911227,-0.347458086948524,2.21305707967187,1.79633597419985
p0041,4.63837429689555,0.591816125321796,0.970912530964238,4.28790341609112,4.34350739378121,3.10906516099204
p0042,5.73083903173194,0.376895796094935,0.967269663944812,5.41591499644798,5.45337642268668,3.83485552589617
p0043,2.94681984792135,0.835247719914423,0.971560163739099,2.35588611353641,2.61326678385995,2.61810385281533
p0044,6.57727853394863,0.179238968739545,0.811536582942922,-4.64194033718269,4.89258764905565,0.722672151635462
p0045,2.82101824185142,0.849014218910099,0.977499650068825,2.36774646603858,2.4798453756258,2.15736281030733
p0046,3.75232539939598,0.732868411151896,0.900585993760019,-1.52290039317788,2.84414447209291,1.63432399597987
p0047,2.25844048816415,0.903229816830006,0.968793862014914,1.19497845756905,1.79047457688414,2.06796392481511
p0048,6.10030684112775,0.29396273880628,0.834095634304673,-4.18396809585862,4.60043018487299,0.823327650533935
p0049,3.24274286001678,0.800497067128605,0.976296723725555,2.83520175699616,2.87571741576239,2.31302460847624
p0050,2.10571030286786,0.91587569191953,0.966409744022968,0.876380552071811,1.62145342711422,1.60045286869599
p0051,5.58747800964765,0.407680657634623,0.968532294674379,5.27739843566412,5.31649338300429,3.76973496011234
p0052,3.14756310101298,0.812036660727082,0.915689710478879,-0.730129810603975,2.30291077862874,1.6769192005403
p0053,3.15429385245994,0.811231919306832,0.9732733445701,2.66612810066432,2.86309394400414,2.61738855950645
p0054,2.707594754538,0.860911382884419,0.973857200350686,2.13129369790014,2.26749928912394,2.00268081237366
p0055,2.06838372399938,0.91883169359483,0.968659154459303,0.869673824918055,1.56516805277387,1.57672106300528
p0056,5.73625585167561,0.37571731650091,0.85992486865375,-4.01662403437558,4.30729287453472,0.761695377046016
p0057,2.26380424376573,0.902769616099549,0.976843320735468,1.62202185416468,1.84954920350905,1.7906635592038
p0058,4.12393851969342,0.677337402735895,0.975660235572223,3.80018117967779,3.83184571265279,2.91575913213804
p0059,5.34213106425037,0.458556257732181,0.869056686340661,-3.63468320101246,4.00090196677437,0.809453452368021
p0060,2.53768400409956,0.877820218135525,0.977072813080959,2.00094306021853,2.16255499290031,2.00679929104322
p0061,2.82518468087241,0.848567899500882,0.934935164155246,-0.927561812383591,2.23093792512498,1.18812346479968
p0062,2.29024540844574,0.900485055915833,0.956515818672407,0.460636753986859,1.75621912462071,1.84641777566802
p0063,2.09286324841942,0.916899054638122,0.961841487193034,0.419630010605305,1.61334703093071,1.39379703095175
p0064,4.02826330563222,0.692135252938024,0.898366560465039,-1.93639079747355,3.10352445837322,1.52761502255252
p0065,2.12221566310574,0.914551726498629,0.965755344337591,0.770452705837959,1.588544826545,1.7580787691
p0066,3.08348829035781,0.819611491341045,0.912027281193832,-0.326809505329256,2.24138808909605,1.85244247254394
p0067,2.21673844130635,0.906770540524136,0.969982471921994,1.19715533913506,1.70792472396245,1.9166939063924
p0068,3.33491921273699,0.788993955384373,0.974547240571123,2.90968094886077,3.05665939981597,2.62013133743131
p0069,1.94597549338777,0.928154595471668,0.968019124877529,0.503511808286488,1.48735441421546,1.44692338485175
p0070,1.9246466806704,0.929720883837873,0.974922491672974,0.969832464118478,1.47139737847419,1.56545884440217
p0071,2.91308366331437,0.838998405769199,0.973368725169508,2.37003380529991,2.60634748046617,2.46913008737351
p0072,3.67101348229507,0.744320316466481,0.909023892849723,-1.68254399132491,2.82174702645004,1.31233556937224
