datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Air_Temperature_celsius	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Vapour_Pressure_milliBar	Longwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerHour
63	1.7456234	3.9411349	-2.2978882	69.366394	4.5056006	271.78821	2.4933917e-09
64	4.9943814	-2.944731	-5.8122925	121.51715	2.9488318	243.16209	0
65	2.9464483	-1.7998216	-8.8704895	155.33374	2.1317582	238.28748	0
66	1.6308442	2.1584723	-2.5585083	139.26105	3.4510833	245.54832	2.8282993e-10
67	2.8223579	0.20836005	0.063562012	174.12836	5.0702186	271.19376	1.7764532e-09
68	1.9165152	2.2678828	0.1954895	207.2225	4.5295525	236.31779	0
69	1.8585708	2.0863216	3.5623108	134.24246	5.9441491	278.55185	2.3216569e-10
70	0.030426478	-3.5249321	0.043359375	59.547192	5.1567349	281.04764	3.1500713e-09
71	1.0864639	-4.2727485	-9.3869385	199.32498	2.229834	223.88869	0
72	-1.0851279	2.5431302	-5.4848694	119.71242	3.0277584	255.76891	1.9223137e-10
73	1.0695115	1.1342977	1.9174744	189.41684	5.6520666	272.29712	6.8024694e-10
74	-2.1888497	3.6567149	5.3111206	117.7719	7.4535332	294.52872	0
75	0.15437064	4.0657234	8.4582764	74.902405	9.5066247	314.754	2.4199399e-10
76	5.2123251	-2.2979701	1.5650269	192.4801	5.0581051	277.17603	1.7824914e-10
77	1.1807511	-1.7109727	-4.8994812	163.98172	2.1186014	235.91855	0
78	-5.0829158	1.4171311	1.8268066	27.384071	6.2521687	295.33597	1.119939e-08
79	3.5805948	2.9439304	10.420038	115.73071	10.646199	324.3616	1.0044487e-09
80	3.0577073	-1.4936321	0.0091491699	142.00793	4.3830968	284.83447	0
81	0.92324674	2.5892825	4.3819824	49.688126	6.9827192	301.07187	5.7028039e-10
82	2.1742432	-2.5930459	2.4460083	216.88847	5.2813787	268.53287	0
83	-1.6394799	1.9945875	4.3208862	21.818655	7.1248172	298.08139	7.1702307e-09
84	5.7960014	-3.9273608	0.38137207	145.93369	4.8241427	272.5856	1.2859077e-10
85	-0.97119838	-0.18705946	-0.64755859	174.84186	3.9037335	248.19382	1.9124594e-09
86	-0.8040722	2.1990573	5.9530579	71.013046	8.6197655	314.75641	1.1031423e-08
87	6.9527369	-0.93853045	-0.25671997	158.65549	4.3982452	279.16339	1.4670879e-10
88	0.46762443	-1.2079064	0.68877563	205.06467	4.4962771	268.47531	1.8840471e-10
89	-3.0285585	-0.47984159	3.1482788	152.80051	6.0922756	283.3136	7.7121005e-10
90	-3.2476218	-4.7103624	2.0309692	87.393219	6.0350716	289.91708	1.4869538e-09
91	0.23738158	-2.1556823	1.6526733	266.91006	4.7978767	236.76102	0
92	-1.0502585	3.3221054	6.3714539	114.33456	7.4044096	293.83337	3.169271e-09
93	3.1999245	2.6848364	4.8882385	163.78773	5.92049	272.19006	5.7548455e-10
94	5.2592535	-1.8880544	2.2380615	216.78894	5.3519484	263.7836	2.6574226e-10
95	2.6097763	0.34908509	0.24425659	195.1844	3.618948	261.55603	0
96	-1.6436429	3.84656	7.562616	49.714409	8.5105942	313.04651	5.9591433e-09
97	3.723635	0.78976691	7.6443726	183.16316	9.028553	309.48254	4.3436494e-09
98	5.062036	1.936	0.78804932	141.261	5.1411243	275.0105	1.022185e-09
99	6.0743537	-1.405659	1.8350159	225.05132	5.8911421	270.00473	7.0644993e-10
100	6.5046911	-3.0794997	2.7768799	218.87177	5.848922	283.35287	4.4805707e-10
101	6.9755206	-3.1620433	-1.3682922	211.70158	3.4000888	268.59314	1.5193915e-10
102	7.1220531	-3.797091	-0.63773193	201.90186	3.0760615	263.17993	0
103	3.2939773	-4.9516912	1.6093994	272.89951	4.1857163	252.35251	0
104	1.7536359	-3.2628176	2.817041	289.83273	3.6346674	247.01047	0
105	1.4145905	2.0992169	8.0402161	257.77304	5.0242719	261.56943	0
106	1.2584722	7.3578296	11.255609	44.357056	9.4913077	329.63541	3.7444579e-09
107	2.5488629	3.82493	14.271783	219.46495	13.259689	333.26108	4.0019055e-09
108	6.1354389	-3.7444458	4.1632629	129.49803	6.7481636	310.57312	4.2314794e-10
109	6.8321428	-4.4544005	-0.79886475	188.04341	4.1136556	283.96677	2.8056458e-10
110	7.4366546	-1.6791999	-0.36209717	129.27975	5.0293153	291.25201	1.101729e-09
111	3.572686	-1.2637784	2.2899109	217.82001	5.9831858	286.17297	5.7672514e-10
112	-1.4179138	-4.0156145	5.9240051	276.97607	6.4342513	271.29617	0
113	1.0436261	-3.6536202	7.6358276	264.71869	6.8268	286.96274	3.0050008e-10
