datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Air_Temperature_celsius	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Vapour_Pressure_milliBar	Longwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerHour
63	1.7456234	3.9411349	-3.2978882	69.366394	4.1820301	271.78821	2.4933917e-09
64	4.9943814	-2.944731	-6.8122925	121.51715	2.7308139	243.16209	0
65	2.9464483	-1.7998216	-9.8704895	155.33374	1.9700574	238.28748	0
66	1.6308442	2.1584723	-3.5585083	139.26105	3.2027116	245.54832	2.8282993e-10
67	2.8223579	0.20836005	-0.93643799	174.12836	4.7130634	271.19376	1.7764532e-09
68	1.9165152	2.2678828	-0.8045105	207.2225	4.210825	236.31779	0
69	1.8585708	2.0863216	2.5623108	134.24246	5.5371095	278.55185	2.3216569e-10
70	0.030426478	-3.5249321	-0.95664062	59.547192	4.7934255	281.04764	3.1500713e-09
71	1.0864639	-4.2727485	-10.386938	199.32498	2.0599548	223.88869	0
72	-1.0851279	2.5431302	-6.4848694	119.71242	2.8045144	255.76891	1.9223137e-10
73	1.0695115	1.1342977	0.91747437	189.41684	5.2598661	272.29712	6.8024694e-10
74	-2.1888497	3.6567149	4.3111206	117.7719	6.9502279	294.52872	0
75	0.15437064	4.0657234	7.4582764	74.902405	8.8805006	314.754	2.4199399e-10
76	5.2123251	-2.2979701	0.56502686	192.4801	4.7061183	277.17603	1.7824914e-10
77	1.1807511	-1.7109727	-5.8994812	163.98172	1.9631498	235.91855	0
78	-5.0829158	1.4171311	0.82680664	27.384071	5.8180087	295.33597	1.119939e-08
79	3.5805948	2.9439304	9.4200378	115.73071	9.9557366	324.3616	1.0044487e-09
80	3.0577073	-1.4936321	-0.99085083	142.00793	4.0742069	284.83447	0
81	0.92324674	2.5892825	3.3819824	49.688126	6.5076927	301.07187	5.7028039e-10
82	2.1742432	-2.5930459	1.4460083	216.88847	4.9164607	268.53287	0
83	-1.6394799	1.9945875	3.3208862	21.818655	6.6398868	298.08139	7.1702307e-09
84	5.7960014	-3.9273608	-0.61862793	145.93369	4.4851988	272.5856	1.2859077e-10
85	-0.97119838	-0.18705946	-1.6475586	174.84186	3.6271491	248.19382	1.9124594e-09
86	-0.8040722	2.1990573	4.9530579	71.013046	8.0406782	314.75641	1.1031423e-08
87	6.9527369	-0.93853045	-1.25672	158.65549	4.0876157	279.16339	1.4670879e-10
88	0.46762443	-1.2079064	-0.31122437	205.06467	4.181157	268.47531	1.8840471e-10
89	-3.0285585	-0.47984159	2.1482788	152.80051	5.6737024	283.3136	7.7121005e-10
90	-3.2476218	-4.7103624	1.0309692	87.393219	5.616678	289.91708	1.4869538e-09
91	0.23738158	-2.1556823	0.65267334	266.91006	4.4642355	236.76102	0
92	-1.0502585	3.3221054	5.3714539	114.33456	6.9086232	293.83337	3.169271e-09
93	3.1999245	2.6848364	3.8882385	163.78773	5.5193528	272.19006	5.7548455e-10
94	5.2592535	-1.8880544	1.2380615	216.78894	4.9815335	263.7836	2.6574226e-10
95	2.6097763	0.34908509	-0.75574341	195.1844	3.3643973	261.55603	0
96	-1.6436429	3.84656	6.562616	49.714409	7.9460936	313.04651	5.9591433e-09
97	3.723635	0.78976691	6.6443726	183.16316	8.4300836	309.48254	4.3436494e-09
98	5.062036	1.936	-0.21195068	141.261	4.7811005	275.0105	1.022185e-09
99	6.0743537	-1.405659	0.83501587	225.05132	5.4820795	270.00473	7.0644993e-10
100	6.5046911	-3.0794997	1.7768799	218.87177	5.4458656	283.35287	4.4805707e-10
101	6.9755206	-3.1620433	-2.3682922	211.70158	3.157765	268.59314	1.5193915e-10
102	7.1220531	-3.797091	-1.6377319	201.90186	2.8581361	263.17993	0
103	3.2939773	-4.9516912	0.60939941	272.89951	3.8945424	252.35251	0
104	1.7536359	-3.2628176	1.817041	289.83273	3.384279	247.01047	0
105	1.4145905	2.0992169	7.0402161	257.77304	4.6922712	261.56943	0
106	1.2584722	7.3578296	10.255609	44.357056	8.8797501	329.63541	3.7444579e-09
107	2.5488629	3.82493	13.271783	219.46495	12.425069	333.26108	4.0019055e-09
108	6.1354389	-3.7444458	3.1632629	129.49803	6.2882889	310.57312	4.2314794e-10
109	6.8321428	-4.4544005	-1.7988647	188.04341	3.8218377	283.96677	2.8056458e-10
110	7.4366546	-1.6791999	-1.3620972	129.27975	4.6738108	291.25201	1.101729e-09
111	3.572686	-1.2637784	1.2899109	217.82001	5.5692554	286.17297	5.7672514e-10
112	-1.4179138	-4.0156145	4.9240051	276.97607	6.0018898	271.29617	0
113	1.0436261	-3.6536202	6.6358276	264.71869	6.3742461	286.96274	3.0050008e-10
114	2.0092247	-2.6152694	6.9526917	285.26334	6.097218	272.75238	1.7922196e-10
115	2.6715078	-2.7384777	5.8606201	266.99884	5.6612667	279.11874	1.205569e-10
116	2.7504082	-1.9558334	6.8982483	286.07928	5.4691586	287.50977	0
117	1.4588171	-2.7353859	5.9928833	224.62474	4.4232407	298.28891	0
118	1.1979229	0.24046557	6.7765137	158.97476	4.917576	295.74905	0
119	4.1965051	-0.44421846	8.9903503	297.19275	6.378075	279.74792	0
120	3.2635128	0.00039225398	10.726434	221.48531	6.2611358	301.94086	5.5575572e-10
121	2.2706683	3.8434415	13.352045	50.585484	12.224029	355.27853	6.8185618e-09
122	1.7817905	-3.755271	8.0555664	226.09958	8.5138021	332.33807	1.2192878e-09
123	1.7096441	-1.2279918	7.3084351	253.18567	5.534694	312.46622	0
124	2.0563397	4.6093788	9.4460083	52.932308	8.6109056	326.82083	1.901918e-09
125	5.2423887	-2.2585063	5.1628357	315.41943	4.8314266	283.58774	2.6047464e-11
126	4.3796058	-0.47520044	3.7560364	317.00876	3.5206087	271.99796	0
127	3.533216	-0.63771808	6.5740906	321.11951	4.5928677	265.927	0
128	3.4714396	-0.082637317	9.4998413	313.30399	5.6393708	282.27805	0
129	3.3286808	-0.85185105	11.586633	308.02982	5.9725396	291.43515	0
130	4.2399673	0.22313923	14.056696	310.16248	6.1502862	300.06689	0
131	3.8646784	0.86890578	15.243768	97.305573	6.9376048	350.62973	1.4411011e-10
132	1.1141185	-1.3153956	13.590509	278.49948	10.870956	330.32736	1.3305612e-09
133	0.41033772	-0.74346292	13.478845	152.71748	11.536202	347.47583	3.8680885e-09
134	0.457874	-0.60502613	7.3383118	143.19846	7.1389455	307.32346	1.7733391e-09
135	8.017848	-1.0498749	9.6206604	287.15524	8.1032734	319.61786	1.8488537e-09
136	2.8509517	-3.1387863	7.8341003	252.89462	6.8055955	299.16193	0
137	-2.9890213	1.1336035	7.4219604	18.699373	8.6778448	348.84042	7.7425617e-09
138	1.0986546	-3.3644378	9.1473938	205.96002	9.7022434	341.00797	1.7768821e-10
139	4.381804	-0.98970187	9.9414001	180.04582	8.5764423	322.00073	3.1049623e-11
140	1.5690027	0.93444806	7.4226929	38.816246	8.3444561	325.13297	7.7386934e-09
141	1.0774997	0.58220583	13.058588	89.779472	12.550109	365.27115	3.6949456e-09
142	2.8101933	3.188834	19.598016	290.45123	14.37286	347.14087	0
143	3.2937808	-1.7858481	17.882715	234.96886	14.551284	370.54858	0
144	-2.2497535	-2.7632935	10.079126	48.769524	9.7062344	354.39938	1.1590374e-09
145	-3.5597999	-1.3098625	9.5565125	132.55196	9.4996529	352.76755	0
146	-5.0484567	2.1108665	9.5842224	13.617076	11.038982	364.36359	9.9781034e-09
147	2.4609852	3.0814261	17.421838	238.54817	18.001904	376.23685	3.3597553e-09
148	1.6822807	-3.7842145	13.780206	244.10266	12.611915	337.23273	0
149	-1.5985315	0.52906561	12.514856	216.72455	11.205028	327.83014	0
150	-1.7202636	4.1085677	11.942224	41.997097	12.648184	367.45032	1.6735177e-09
151	-0.42086568	0.57158858	15.264948	159.53003	16.02721	378.55591	2.0800524e-09
152	-0.37293205	2.6211693	19.057001	253.60239	17.2614	369.25296	1.8079587e-11
153	3.4166429	3.4955049	20.959894	199.5721	20.154267	377.32181	1.0320069e-08
154	1.0703129	-2.1983647	17.454614	297.99817	16.115989	351.72043	5.0903745e-09
155	3.2508402	-1.2884259	14.627008	288.30713	12.043593	330.2135	3.6358157e-10
156	1.5919824	-0.11804086	13.07644	289.53339	9.9600461	316.72726	0
157	1.2007173	1.0013154	15.474908	161.16603	13.53732	368.84439	3.6632646e-09
158	-0.26543382	-0.095995694	12.762933	73.540642	12.162379	350.63159	0
159	0.6121273	1.5629305	17.584955	252.33672	15.595874	377.97742	1.1067093e-10
160	3.4525111	1.9788749	23.058832	274.74689	19.293384	388.02841	3.0954296e-10
161	1.7598106	-0.22910593	21.848077	147.75729	19.187404	397.55872	4.8495737e-09
162	-1.3865463	-3.2748091	15.910425	21.511478	17.412628	399.23563	2.0211493e-08
163	-0.1323168	-4.8049068	12.752039	320.02954	11.394146	325.33173	0
164	2.3840914	2.7457941	15.773248	260.26215	13.276561	338.42548	9.2288938e-11
165	3.7741747	-3.4426661	14.744958	309.46976	12.184723	336.27466	6.999854e-10
166	0.61437935	-3.9996731	13.582086	319.8989	10.391253	317.30536	0
167	0.08278738	3.3641853	16.273859	250.43971	11.684924	339.31763	0
168	2.3541379	5.8052478	15.226648	28.673178	14.037104	378.90851	7.150337e-09
169	0.34793064	-0.46182239	15.293207	85.094147	16.692531	393.40305	6.1210934e-09
170	-0.24655674	-3.6805763	13.613458	138.10495	14.433554	372.87134	4.5972829e-09
171	0.26339123	-0.12352142	12.884271	247.978	12.235791	334.09418	8.3232347e-10
172	-0.042206921	2.008225	14.644403	269.96118	12.081999	335.31839	6.2610456e-12
173	-2.656497	3.4667752	12.775415	152.54396	12.595541	352.68854	2.1368279e-10
174	2.2859309	2.4051549	15.235315	274.0098	14.083614	360.18668	2.7961927e-09
175	3.8209484	-0.36610171	15.493829	311.8779	12.451828	331.40005	0
176	1.4115312	-0.3747063	17.50274	299.00339	12.779525	345.84601	0
177	0.51164412	2.0676475	19.999445	249.5582	14.599498	366.14423	0
178	0.52363694	4.6786284	18.912225	90.503853	18.593983	399.92172	7.1900534e-09
179	4.367743	1.335243	17.580743	110.09444	18.414066	399.22073	4.4122347e-09
180	4.0527616	-2.7324696	17.553613	274.70401	16.553605	363.58139	9.7942939e-10
181	2.0586615	-3.4023626	17.108514	314.24783	13.216931	333.76981	0
182	2.5352147	0.061926786	19.288171	293.96564	13.35763	335.8631	0
183	3.93942	1.5622506	22.71142	266.29279	17.811204	377.01343	0
184	4.5827932	2.5385358	25.192377	273.77582	19.316834	395.1723	0
185	4.27495	2.144453	25.086267	270.9617	19.173459	394.22278	0
186	3.6632595	-1.1755775	22.318475	270.95868	15.891057	382.93768	1.9342724e-10
187	-1.114941	-4.0417304	19.474969	291.88593	15.514229	365.07925	2.0808932e-10
188	-3.0680904	-0.80876338	18.303766	302.71692	13.592388	344.62277	0
189	-1.0392387	1.2877102	19.286279	302.54718	13.445218	343.00403	0
190	0.9180094	2.4794214	22.072626	306.76611	13.415156	348.63309	0
191	1.9216168	2.9792197	22.515192	301.56064	14.259412	356.85141	0
192	2.3670173	4.0399609	22.957666	232.27003	18.364828	390.09119	3.2203877e-10
193	0.87776327	-1.7171725	22.451868	278.76447	19.064116	392.2356	8.5444594e-10
194	-0.70150065	0.41965249	22.426538	293.10519	15.634573	364.42279	0
195	3.5402544	-0.71776485	23.063196	277.17065	16.08233	391.91998	2.0196912e-10
196	1.1341029	-2.9490192	18.459802	299.96857	12.51257	340.27475	0
197	0.85911721	2.4445915	21.001794	287.00137	13.116666	348.59592	0
198	1.5497009	1.2949758	22.078577	270.78323	15.602679	379.76797	1.891256e-10
199	0.83061171	0.1110808	22.898309	286.51804	15.8618	377.72321	0
200	3.0536332	1.7443867	24.145959	284.15335	15.950329	377.51648	0
201	3.5162673	-1.683107	23.104364	267.06403	18.086073	386.35739	1.3509894e-09
202	0.75187248	2.0942216	21.771448	177.68686	16.207315	374.23303	2.2493422e-10
203	2.7381122	-0.32275936	21.674768	218.70828	18.529178	391.40878	3.4619817e-10
204	-0.59381104	-2.3916478	21.167749	291.02087	13.924992	359.40051	0
205	-3.5442739	1.6979114	19.522699	114.47655	13.436309	365.15707	7.8213793e-10
