"",-33.000,-32.500,-32.000,-31.500,-31.000,-30.500,-30.000,-29.500,-29.000,-28.500,-28.000,-27.500,-27.000,-26.500,-26.000,-25.500,-25.000,-24.500,-24.000,-23.500,-23.000,-22.500,-22.000,-21.500,-21.000,-20.500,-20.000,-19.500,-19.000,-18.500,-18.000,-17.500,-17.000,-16.500,-16.000,-15.500,-15.000,-14.500,-14.000,-13.500,-13.000,-12.500,-12.000,-11.500,-11.000,-10.500,-10.000,-9.500,-9.000,-8.500,-8.000,-7.500,-7.000,-6.500,-6.000,-5.500,-5.000,-4.500,-4.000,-3.500,-3.000,-2.500,-2.000,-1.500,-1.000,-0.500,0.000
149.0000,NaN,-2.7000E+001,-2.7000E+001,-2.7000E+001,-2.7000E+001,-2.7000E+001,-2.7000E+001,-2.7000E+001,-2.7000E+001,-2.7000E+001,-2.7000E+001,-2.7000E+001,-2.7000E+001,-2.7000E+001,-2.7000E+001,-2.7000E+001,-2.6500E+001,-2.6000E+001,-2.5500E+001,-2.5000E+001,-2.4500E+001,-2.4000E+001,-2.3500E+001,-2.3000E+001,-2.2500E+001,-2.2000E+001,-2.1500E+001,-2.1000E+001,-2.0500E+001,-2.0000E+001,-1.9500E+001,-1.9000E+001,-1.8500E+001,-1.8000E+001,-1.7500E+001,-1.7000E+001,-1.6500E+001,-1.6000E+001,-1.5500E+001,-1.5000E+001,-1.4500E+001,-1.4000E+001,-1.3500E+001,-1.3000E+001,-1.2500E+001,-1.2000E+001,-1.1500E+001,-1.1000E+001,-1.0500E+001,-1.0000E+001,-9.5000E+000,-9.0000E+000,-8.5000E+000,-8.0000E+000,-7.5000E+000,-7.0000E+000,-6.5000E+000,-6.0000E+000,-5.5000E+000,-5.0000E+000,-4.5000E+000,-4.0000E+000,-3.5000E+000,-3.0000E+000,-2.3333E+000,-1.6667E+000,-1.0000E+000
150.0000,NaN,3.0239E-011,1.4661E-011,2.1521E-010,1.1867E-010,1.0530E-010,3.1123E-010,7.2230E-010,1.1225E-009,1.6088E-009,2.1781E-009,3.0684E-009,4.0469E-009,4.7180E-009,5.4675E-009,6.2487E-009,7.1473E-009,8.0006E-009,8.9227E-009,1.0047E-008,1.0818E-008,1.2895E-008,1.5892E-008,2.0752E-008,2.4575E-008,2.7668E-008,3.0050E-008,3.1810E-008,3.2934E-008,3.3163E-008,3.2524E-008,3.1120E-008,2.9333E-008,2.7242E-008,2.4998E-008,2.2647E-008,2.1389E-008,2.1794E-008,2.3484E-008,2.5267E-008,2.7949E-008,3.0073E-008,3.1269E-008,3.1463E-008,3.0580E-008,2.9141E-008,2.7073E-008,2.4682E-008,2.2773E-008,2.2459E-008,2.4145E-008,2.6987E-008,3.2607E-008,4.2173E-008,5.2424E-008,7.4281E-008,9.8290E-008,1.2117E-007,2.0983E-007,3.7634E-007,3.4167E-007,3.1709E-007,2.7044E-007,3.4322E-007,4.5675E-007,7.4493E-007,1.1888E-006
151.0000,NaN,5.6758E-009,2.3340E-009,2.8188E-009,3.9294E-009,2.2495E-009,2.0739E-009,2.4385E-009,3.3055E-009,4.1476E-009,4.8728E-009,5.7536E-009,6.2379E-009,6.6913E-009,7.2745E-009,7.8266E-009,8.2443E-009,8.5178E-009,9.3031E-009,9.7290E-009,1.0325E-008,1.0903E-008,1.1746E-008,1.2142E-008,1.2938E-008,1.3298E-008,1.3507E-008,1.3590E-008,1.3824E-008,1.3996E-008,1.4310E-008,1.4515E-008,1.4791E-008,1.4874E-008,1.4963E-008,1.4550E-008,1.4463E-008,1.4631E-008,1.4869E-008,1.5154E-008,1.5334E-008,1.5546E-008,1.5692E-008,1.5825E-008,1.5695E-008,1.5661E-008,1.5665E-008,1.5834E-008,1.6454E-008,1.7592E-008,1.9497E-008,2.2471E-008,2.6764E-008,3.2593E-008,4.0075E-008,4.8291E-008,5.5018E-008,5.7647E-008,5.5557E-008,5.1996E-008,5.2059E-008,5.5265E-008,1.0507E-007,2.3268E-007,2.0391E-007,2.7357E-007,3.4931E-007
152.0000,NaN,3.2686E-009,1.3442E-009,1.7656E-009,2.2781E-009,1.2408E-009,1.2381E-009,1.6825E-009,2.2053E-009,2.6924E-009,3.0483E-009,3.5592E-009,3.9207E-009,3.9511E-009,4.1408E-009,4.4001E-009,4.5362E-009,4.6814E-009,5.0014E-009,5.1803E-009,5.4323E-009,5.6808E-009,5.9792E-009,6.1840E-009,6.3810E-009,6.4649E-009,6.5183E-009,6.5671E-009,6.6872E-009,6.8498E-009,7.0408E-009,7.2755E-009,7.4806E-009,7.6176E-009,7.5894E-009,7.5029E-009,7.5659E-009,7.6497E-009,7.7904E-009,7.8886E-009,7.9775E-009,8.0757E-009,8.1941E-009,8.2579E-009,8.3510E-009,8.4717E-009,8.6308E-009,8.9560E-009,9.5099E-009,1.0341E-008,1.1539E-008,1.3239E-008,1.5453E-008,1.8187E-008,2.1325E-008,2.4525E-008,2.7364E-008,2.9520E-008,3.0798E-008,3.1607E-008,3.3872E-008,3.9126E-008,5.7078E-008,9.2309E-008,6.5536E-008,9.6413E-008,1.5061E-007
153.0000,NaN,2.2854E-009,9.3335E-010,1.2921E-009,1.6099E-009,8.5313E-010,8.9379E-010,1.2814E-009,1.6290E-009,2.0285E-009,2.3799E-009,2.6429E-009,2.8469E-009,2.8803E-009,3.0183E-009,3.1615E-009,3.2524E-009,3.4208E-009,3.5529E-009,3.7077E-009,3.8769E-009,4.0679E-009,4.2114E-009,4.3826E-009,4.4658E-009,4.5023E-009,4.5303E-009,4.5965E-009,4.6854E-009,4.8150E-009,4.9622E-009,5.1419E-009,5.3040E-009,5.4193E-009,5.3922E-009,5.3733E-009,5.4313E-009,5.5026E-009,5.6108E-009,5.6924E-009,5.7670E-009,5.8535E-009,5.9629E-009,6.0484E-009,6.1621E-009,6.3102E-009,6.4947E-009,6.8006E-009,7.2764E-009,7.9513E-009,8.8750E-009,1.0131E-008,1.1710E-008,1.3611E-008,1.5777E-008,1.8045E-008,2.0248E-008,2.2309E-008,2.4265E-008,2.6447E-008,2.9216E-008,3.5983E-008,5.9125E-008,9.4967E-008,6.5218E-008,1.0667E-007,1.7510E-007
154.0000,NaN,1.2798E-009,5.3040E-010,7.8417E-010,9.4167E-010,4.7054E-010,5.2363E-010,7.7202E-010,1.0214E-009,1.2745E-009,1.5018E-009,1.6570E-009,1.7495E-009,1.7869E-009,1.8754E-009,1.9429E-009,2.0038E-009,2.1042E-009,2.1850E-009,2.2716E-009,2.3692E-009,2.4792E-009,2.5641E-009,2.6596E-009,2.7087E-009,2.7291E-009,2.7453E-009,2.7840E-009,2.8401E-009,2.9207E-009,3.0156E-009,3.1270E-009,3.2320E-009,3.3058E-009,3.3067E-009,3.2960E-009,3.3317E-009,3.3873E-009,3.4537E-009,3.5171E-009,3.5683E-009,3.6329E-009,3.7107E-009,3.7881E-009,3.8736E-009,3.9908E-009,4.1335E-009,4.3462E-009,4.6677E-009,5.1204E-009,5.7302E-009,6.5344E-009,7.5293E-009,8.7195E-009,1.0087E-008,1.1571E-008,1.3121E-008,1.4786E-008,1.6746E-008,1.9327E-008,2.2000E-008,2.7042E-008,6.4867E-008,7.4366E-008,5.4764E-008,8.1488E-008,1.2993E-007
155.0000,NaN,2.0032E-009,7.9734E-010,1.1455E-009,1.4022E-009,7.4389E-010,8.0673E-010,1.1185E-009,1.5408E-009,1.9218E-009,2.2954E-009,2.5171E-009,2.5704E-009,2.6968E-009,2.8310E-009,2.9040E-009,3.0040E-009,3.1673E-009,3.2729E-009,3.4079E-009,3.5521E-009,3.7159E-009,3.8338E-009,3.9813E-009,4.0474E-009,4.0760E-009,4.1009E-009,4.1651E-009,4.2525E-009,4.3805E-009,4.5262E-009,4.7039E-009,4.8675E-009,4.9918E-009,4.9849E-009,4.9855E-009,5.0557E-009,5.1390E-009,5.2577E-009,5.3568E-009,5.4518E-009,5.5634E-009,5.7052E-009,5.8369E-009,6.0009E-009,6.2079E-009,6.4553E-009,6.8196E-009,7.3522E-009,8.0765E-009,9.0277E-009,1.0272E-008,1.1792E-008,1.3597E-008,1.5687E-008,1.8055E-008,2.0668E-008,2.3778E-008,2.7785E-008,3.3677E-008,4.8613E-008,1.5661E-007,1.2734E-007,1.7791E-007,2.6850E-007,4.0161E-007,6.3761E-007
156.0000,NaN,4.3281E-009,1.7566E-009,2.2918E-009,2.9565E-009,1.6259E-009,1.6124E-009,2.1945E-009,2.7771E-009,3.3946E-009,3.8536E-009,4.3638E-009,4.7245E-009,4.6882E-009,4.8447E-009,5.0827E-009,5.1784E-009,5.3250E-009,5.5732E-009,5.7302E-009,5.9677E-009,6.2344E-009,6.4243E-009,6.6617E-009,6.7666E-009,6.8112E-009,6.8528E-009,6.9624E-009,7.1137E-009,7.3361E-009,7.5920E-009,7.9074E-009,8.1993E-009,8.4246E-009,8.4267E-009,8.4559E-009,8.6107E-009,8.7820E-009,9.0241E-009,9.2221E-009,9.4304E-009,9.6767E-009,9.9860E-009,1.0269E-008,1.0631E-008,1.1057E-008,1.1546E-008,1.2256E-008,1.3242E-008,1.4529E-008,1.6195E-008,1.8309E-008,2.0865E-008,2.3921E-008,2.7577E-008,3.2014E-008,3.7579E-008,4.5348E-008,5.6804E-008,7.1596E-008,6.7706E-008,2.4558E-008,5.9591E-008,1.1885E-007,1.7843E-007,2.7932E-007,4.1230E-007
157.0000,NaN,1.9078E-009,7.9585E-010,1.1208E-009,1.3662E-009,6.9844E-010,7.4347E-010,1.0993E-009,1.4060E-009,1.7354E-009,1.9946E-009,2.2280E-009,2.3732E-009,2.3838E-009,2.4701E-009,2.5690E-009,2.6206E-009,2.7016E-009,2.8191E-009,2.9011E-009,3.0109E-009,3.1262E-009,3.2381E-009,3.3323E-009,3.4060E-009,3.4338E-009,3.4578E-009,3.5031E-009,3.5846E-009,3.6950E-009,3.8342E-009,3.9917E-009,4.1497E-009,4.2650E-009,4.3115E-009,4.3208E-009,4.3973E-009,4.5155E-009,4.6402E-009,4.7787E-009,4.9005E-009,5.0531E-009,5.2290E-009,5.4211E-009,5.6202E-009,5.8726E-009,6.1611E-009,6.5380E-009,7.0662E-009,7.7605E-009,8.6462E-009,9.7677E-009,1.1131E-008,1.2801E-008,1.4874E-008,1.7451E-008,2.0616E-008,2.4299E-008,2.7641E-008,2.8135E-008,2.2571E-008,2.9919E-008,3.2263E-008,4.1758E-008,6.4440E-008,1.2978E-007,1.6745E-007
