par_id,rmse,nse,r,bias,mae,nmae
p0001,12.7589345019086,-2.08853891000909,0.313929894506965,3.74914594252239,8.78170498668948,6.55677215684958
p0002,7.03318723662826,0.0615122251953064,0.701387181446943,-4.62739244395686,5.87479239939113,1.64224201645595
p0003,4.79935296158689,0.562991743357943,0.858205765784352,-3.02424608708445,3.74911174310049,0.983925455286471
p0004,6.46404192089341,0.207256682799577,0.742887982853179,-4.2011318579316,5.3039522992685,1.41814431449303
p0005,2.54978325629891,0.876652375254172,0.972972970543677,-1.84023140962195,2.1639014888087,0.398238779463348
p0006,5.46321566239508,0.433733394575411,0.830361945497723,-3.65594819612613,4.32589983021265,1.0481733748469
p0007,6.32048212921611,0.242077715339125,0.762760437141122,-4.16762411510703,5.18994396838234,1.35680656196225
p0008,3.19965567889062,0.805763540965499,0.976673091229739,-2.5582582489207,2.61996234732019,0.510929624434721
p0009,5.76839500578512,0.368702244281024,0.790302633931775,-3.67136529741961,4.51280940477485,1.26247995040813
p0010,4.65429448251414,0.589009316415965,0.930690003686344,-3.58813442502616,3.8421120624695,0.712449860142627
p0011,5.41902187259842,0.442857781806752,0.798276250891813,-3.17014031027963,4.10702177786317,1.21471144708255
p0012,5.82993819393071,0.355159713462084,0.699699805962901,-2.3214335295646,4.35486066648599,2.63613515088467
p0013,5.10109218725015,0.506314234358431,0.881132923917563,-3.68758637352381,4.12664944864676,0.835580944361206
p0014,51.6728094168882,-49.6580432046375,0.269056873642648,43.9229328146474,43.9724678767527,30.3825801778096
p0015,6.38058582068143,0.227594478020237,0.612418406915324,-2.68354690222268,5.21116415233927,3.34756119295699
p0016,6.43930028629342,0.213313645022779,0.714008095040337,-3.92598540931304,5.23170054079934,1.91316757740818
p0017,5.36330632774069,0.454255376001482,0.813262015205269,-3.29432011353502,4.08792970419308,1.12160318181711
p0018,3.54020309604433,0.762217101773228,0.972030628660131,-2.75394651641359,2.88306876838756,0.501792405877708
p0019,3.29086735576055,0.79453161074615,0.957181971499687,-2.44880678359056,2.80661272585655,0.452429143909964
p0020,2.70049748439614,0.861639597996502,0.944642407126659,-1.15746748823712,2.23999812716989,0.432742718721006
p0021,2.31601699468147,0.898232818931636,0.955992619039787,-0.829902586700522,1.82121916959809,0.376244323023726
p0022,6.79394447293168,0.124273993524646,0.68680691741185,-4.19611128774315,5.65928479876786,1.97950409817995
p0023,6.50386890573968,0.197457909608197,0.725825451406432,-4.13090013139505,5.38309652132054,1.68158445772585
p0024,5.57424316363058,0.410483342854372,0.795714287150737,-3.42449763130588,4.47144204730619,1.2770883346699
p0025,4.50730867118271,0.614558154316065,0.88930322016782,-3.03445469604801,3.56296577268692,0.858324565189944
p0026,6.17635787402393,0.276249018908579,0.735730974760504,-3.72049994762523,4.98902498360201,1.7641923566188
p0027,5.90939676115842,0.337462353470942,0.936582863299338,-4.7680912843219,4.838287182257,0.629498526482215
