datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Air_Temperature_celsius	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Vapour_Pressure_milliBar	Longwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerHour
70	-1.2568359	-1.4960937	-3.1535706	170.21385	4.0187299	245.16447	0
71	-1.5371094	-1.2021484	-1.2709717	99.562653	4.457583	268.71741	2.3727345e-10
72	-2.3867188	-1.796875	-0.86508789	211.15404	3.973905	237.754	0
73	-1.9003906	-1.3242188	0.5828186	176.43576	4.3377364	254.09993	0
74	-0.97949219	-2.59375	1.3167053	41.722092	4.8980784	292.78848	3.624582e-09
75	-3.1542969	-3.4267578	0.71865234	184.92357	3.7279149	263.71637	7.286936e-10
76	-1.9111328	-1.5849609	-1.5197815	231.22621	3.1364889	227.00482	0
77	-0.57910156	-0.98046875	-0.047583008	241.49904	3.8232478	228.47209	0
78	0.359375	0.14746094	2.199762	234.34697	4.7979938	242.38689	0
79	-0.44824219	2.0820313	5.2366577	217.3954	6.0774764	260.87119	0
80	-4.8457031	1.5585937	6.126062	58.605091	7.7781487	298.55725	4.4219353e-09
81	-0.58984375	3.8134766	0.78640137	143.98409	4.4796318	287.44766	4.1913645e-09
82	-0.140625	0.50585938	-0.1828064	162.66786	4.2271859	263.44336	2.1779052e-10
83	1.8837891	-2.4833984	0.43279419	78.041534	4.7456037	286.87335	2.6455918e-09
84	2.1259766	-1.4804687	1.9909607	215.13834	4.9705515	266.23541	2.0447368e-10
85	1.4521484	0.72949219	1.2548462	230.37225	4.6384791	252.79066	0
86	1.078125	-1.6816406	0.42046509	72.660889	5.1475078	284.70093	1.9284697e-09
87	0.37890625	-1.2255859	1.2599731	143.62727	5.1201452	288.45258	1.2776195e-09
88	-0.46972656	-0.91894531	0.93340454	235.08133	4.660829	254.5957	0
89	-1.8779297	-0.18457031	1.2576233	196.58446	4.5453207	255.74211	0
90	-4.0117188	-3.1591797	0.79036865	18.696306	5.434746	299.82211	9.2826303e-09
91	-0.33398438	-3.6396484	2.3914124	50.380825	6.6789821	311.03452	4.4054056e-09
92	1.1015625	-0.11523438	4.7399231	183.2151	7.3424971	304.3537	3.0487905e-10
93	-1.5283203	0.34667969	6.7465454	39.305187	9.2094606	314.94727	4.3777345e-09
94	-0.026367188	1.6201172	8.9467712	219.76076	8.7493606	300.05212	4.173991e-10
95	-0.13378906	1.3261719	5.7062622	227.57062	6.613413	273.84906	0
96	2.6738281	-1.0351562	4.073938	34.698807	7.2418646	314.01422	7.8591365e-09
