par_id,rmse,nse,r,bias,mae,nmae
p0001,3.97799252149241,0.706138057625004,0.950174029876349,3.25433515451572,3.64866460945636,1.8951966680479
p0002,3.02892453025862,0.829630313170491,0.947224880600304,1.88024454852492,2.56830519940604,1.2823748031835
p0003,3.81989660718908,0.729031606613664,0.85975918552837,-0.60484154164825,2.89096132085136,1.05732806657752
p0004,3.46793664536484,0.776664516078685,0.890607047809176,-0.377026475821555,2.64526611655555,1.33337566792301
p0005,4.45691337834891,0.631121105870397,0.832462734057738,-1.24835404852255,3.1648416951556,0.961216308816329
p0006,2.77953614411574,0.856530339084264,0.94317875750493,1.23932066580609,2.10423673464158,0.80722228165584
p0007,6.62800852637157,0.184204064760676,0.840530666224317,5.22423487354711,5.8600134233903,3.54112152535482
p0008,4.16519006475365,0.677830021723802,0.832774475616271,-0.323787000056608,3.32004381208926,1.13477567231735
p0009,6.96620703645913,0.0988269916144443,0.697711566956175,-4.54927575815155,5.39998301752031,1.16094713171428
p0010,3.07761558086425,0.824108778801902,0.941645500769366,1.28753148017082,2.59704354452348,1.50489235946898
p0011,5.29045081014679,0.480242479826408,0.825353536256044,-2.80544021859742,3.66668655345097,0.428813381161527
p0012,3.09765573892043,0.82181065930934,0.920320897432523,0.826670603514656,2.43611651360428,1.03371015734102
p0013,5.36651339074887,0.465189586537403,0.910422975121191,4.39694762835733,4.88427637794933,3.07737769047172
p0014,3.98039502767866,0.70578299495139,0.895821265077684,1.19923272771356,3.41374892950883,2.42048010583544
p0015,3.40455244072689,0.784753808295431,0.910583428332848,0.703399799463296,2.85097669724462,1.4350393868553
p0016,4.68084165067367,0.59312283269421,0.935456213031436,-3.75933004209088,3.89856868878765,0.722714279624695
p0017,4.82361796510312,0.567922921111525,0.933812953547159,4.03963954982737,4.44342939674187,2.44305857225857
p0018,5.61247729126083,0.415042095639903,0.787404202455529,-2.27658212757851,4.02712255545054,0.602375608754444
p0019,4.50602109222964,0.622947468645231,0.835937969840861,1.75372604730937,3.91297145752066,2.30696199248817
p0020,4.36480896013358,0.64620971708204,0.912537456718019,2.87488535482046,4.02625740459055,1.65188783836545
p0021,3.08179233015024,0.823631037494468,0.960093676192649,1.87079743707094,2.56659938654397,1.64363922288583
p0022,5.10887041382432,0.515308733740236,0.934099720778339,4.21320379301993,4.53996399359999,2.9967190422914
