"datetime","PAR_umolm2s"
2007-08-28,732.411401960784
2007-08-29,573.981354166667
2007-08-30,498.832013888889
2007-08-31,213.953576388889
2007-09-01,512.445611111111
2007-09-02,549.794243055556
2007-09-03,528.338680555556
2007-09-04,492.457590277778
2007-09-05,503.850118055556
2007-09-06,399.999854166667
2007-09-07,428.821541666667
2007-09-08,327.594451388889
2007-09-09,73.2164791666667
2007-09-10,91.4617916666667
2007-09-11,58.6346319444444
2007-09-12,384.099534722222
2007-09-13,473.183916666667
2007-09-14,405.242194444444
2007-09-15,172.465972222222
2007-09-16,381.673583333333
2007-09-17,437.679895833333
2007-09-18,437.281256944444
2007-09-19,443.725958333333
2007-09-20,434.005347222222
2007-09-21,418.967354166667
2007-09-22,337.990340277778
2007-09-23,438.418125
2007-09-24,425.027618055556
2007-09-25,427.879152777778
2007-09-26,377.760958333333
2007-09-27,258.8201875
2007-09-28,198.941777777778
2007-09-29,398.625986111111
2007-09-30,328.689965277778
2007-10-01,227.939527777778
2007-10-02,312.639173611111
2007-10-03,NA
2007-10-04,NA
2007-10-05,NA
2007-10-06,260.623090277778
2007-10-07,337.776770833333
2007-10-08,63.7116041666667
2007-10-09,284.166736111111
2007-10-10,62.5003680555556
2007-10-11,84.2071388888889
2007-10-12,52.0291875
2007-10-13,300.121791666667
2007-10-14,195.206041666667
2007-10-15,224.112659722222
2007-10-16,290.996451388889
2007-10-17,238.990326388889
2007-10-18,222.623597222222
2007-10-19,57.3419444444444
2007-10-20,187.858597222222
2007-10-21,289.011319444444
2007-10-22,281.447611111111
2007-10-23,128.096930555556
2007-10-24,83.9716388888889
2007-10-25,233.389368055556
2007-10-26,231.502895833333
2007-10-27,30.4746527777778
2007-10-28,223.489902777778
2007-10-29,185.989923611111
2007-10-30,205.245819444444
2007-10-31,195.3534375
2007-11-01,68.5679930555556
2007-11-02,214.6605
2007-11-03,43.9996666666667
2007-11-04,NA
2007-11-05,127.952229166667
2007-11-06,56.7264722222222
2007-11-07,136.347305555556
2007-11-08,106.946888888889
2007-11-09,123.929451388889
2007-11-10,159.093319444444
2007-11-11,193.930597222222
2007-11-12,134.437548611111
2007-11-13,119.875375
2007-11-14,170.014069444444
2007-11-15,23.0742916666667
2007-11-16,74.4003611111111
2007-11-17,177.978201388889
2007-11-18,171.019173611111
2007-11-19,166.937201388889
2007-11-20,20.8825416666667
2007-11-21,24.5843819444444
2007-11-22,46.4212361111111
2007-11-23,113.877479166667
2007-11-24,142.200201388889
2007-11-25,141.8995625
2007-11-26,37.1291527777778
2007-11-27,79.9104930555555
2007-11-28,113.40625
2007-11-29,57.3566944444444
2007-11-30,145.220958333333
2007-12-01,149.828826388889
2007-12-02,59.9030902777778
2007-12-03,29.7554097222222
2007-12-04,87.8394583333333
2007-12-05,107.390951388889
2007-12-06,119.079805555556
2007-12-07,54.4886319444444
2007-12-08,75.9816805555556
2007-12-09,62.6318194444444
2007-12-10,83.4029652777778
2007-12-11,56.4666319444444
2007-12-12,100.6315
2007-12-13,NA
2007-12-14,NA
2007-12-15,NA
2007-12-16,NA
2007-12-17,NA
2007-12-18,NA
2007-12-19,NA
2007-12-20,NA
2007-12-21,22.6480277777778
2007-12-22,15.7619652777778
2007-12-23,15.4709722222222
2007-12-24,81.1955347222222
2007-12-25,74.7507013888889
2007-12-26,65.7762152777778
2007-12-27,31.4635347222222
2007-12-28,51.7104513888889
2007-12-29,66.0674722222222
2007-12-30,76.9849583333333
2007-12-31,16.3176736111111
2008-01-01,28.3535486111111
2008-01-02,82.6996597222222
2008-01-03,65.0090972222222
2008-01-04,70.1442222222222
2008-01-05,89.1666388888889
2008-01-06,74.3341736111111
2008-01-07,80.9083888888889
2008-01-08,72.4454652777778
2008-01-09,51.2223055555556
2008-01-10,126.645347222222
2008-01-11,15.2240694444444
2008-01-12,128.042875
2008-01-13,134.304493055556
2008-01-14,83.2645347222222
2008-01-15,145.403034722222
2008-01-16,153.094041666667
2008-01-17,125.796263888889
2008-01-18,132.064819444444
2008-01-19,137.284444444444
2008-01-20,153.888770833333
2008-01-21,164.168756944444
2008-01-22,117.3026875
2008-01-23,127.519840277778
2008-01-24,140.381701388889
2008-01-25,149.724055555556
2008-01-26,145.488770833333
2008-01-27,85.3797013888889
2008-01-28,185.631861111111
2008-01-29,132.154923611111
2008-01-30,3.96514285714286
2008-02-03,165.258869565217
2008-02-04,135.817340277778
2008-02-05,72.5417083333333
2008-02-06,55.4585
2008-02-07,98.2182916666667
2008-02-08,146.050375
2008-02-09,117.203791666667
2008-02-10,148.943263888889
2008-02-11,239.510618055556
2008-02-12,196.469680555556
2008-02-13,49.2833888888889
2008-02-14,236.366236111111
2008-02-15,229.051777777778
2008-02-16,277.184444444444
2008-02-17,149.501805555556
2008-02-18,163.640173611111
2008-02-19,147.162041666667
2008-02-20,261.734729166667
2008-02-21,306.351444444444
2008-02-22,136.273645833333
2008-02-23,288.597597222222
2008-02-24,326.129743055556
2008-02-25,321.847743055556
2008-02-26,123.923256944444
2008-02-27,186.933097222222
2008-02-28,306.364604166667
2008-02-29,347.721375
2008-03-01,175.728277777778
2008-03-02,329.867472222222
2008-03-03,212.096027777778
2008-03-04,113.005618055556
2008-03-05,145.762854166667
2008-03-06,368.157354166667
2008-03-07,318.595854166667
2008-03-08,113.000840277778
2008-03-09,NA
2008-03-10,370.984347222222
2008-03-11,389.9568125
2008-03-12,209.011361111111
2008-03-13,357.184708333333
2008-03-14,284.627986111111
2008-03-15,222.361326388889
2008-03-16,201.0118125
2008-03-17,430.195097222222
