"","Reservoir","Site","DateTime","Depth_m","Chla_ugL","Pheo_ugL","Flag_Chla","Flag_Pheo","age","year"
"247","FCR",50,2015-09-14 12:00:00,5,28.8,12.7,0,0,NA,2015
"248","FCR",50,2015-09-14 12:00:00,6.2,20.2,6.8,0,0,NA,2015
"249","FCR",50,2015-09-14 12:00:00,9,5.1,1.3,0,4,NA,2015
"250","FCR",50,2015-09-21 12:00:00,1.6,6.7,3,0,0,NA,2015
"251","FCR",50,2015-09-21 12:00:00,3.8,6.7,1.6,0,0,NA,2015
"252","FCR",50,2015-09-21 12:00:00,5,57.6,15,0,0,NA,2015
"253","FCR",50,2015-09-21 12:00:00,6.2,23.1,7,0,0,NA,2015
"254","FCR",50,2015-09-21 12:00:00,9,13,11.9,0,0,NA,2015
"255","FCR",50,2015-09-28 12:00:00,1.6,11.5,3.7,0,0,NA,2015
"256","FCR",50,2015-09-28 12:00:00,3.8,0,20.1,4,0,NA,2015
"257","FCR",50,2015-09-28 12:00:00,5,8.1,5.2,0,0,NA,2015
"258","FCR",50,2015-09-28 12:00:00,6.2,11.5,3,0,4,NA,2015
"259","FCR",50,2015-09-28 12:00:00,9,8.6,1.7,0,0,NA,2015
"260","FCR",50,2015-10-05 12:00:00,1.6,7.7,6.1,0,0,NA,2015
"261","FCR",50,2015-10-05 12:00:00,3.8,3.5,3.6,0,0,NA,2015
"262","FCR",50,2015-10-05 12:00:00,5,6.7,3.7,0,0,NA,2015
"263","FCR",50,2015-10-05 12:00:00,6.2,5.8,5.3,0,0,NA,2015
"264","FCR",50,2015-10-05 12:00:00,9,3.5,4,0,0,NA,2015
"265","FCR",50,2015-10-19 12:00:00,1.6,2.3,-2.3,0,4,NA,2015
"266","FCR",50,2015-10-19 12:00:00,3.8,2.9,-0.8,0,4,NA,2015
"267","FCR",50,2015-10-19 12:00:00,5,2.9,-0.4,0,4,NA,2015
"268","FCR",50,2015-10-19 12:00:00,6.2,1.7,-0.5,0,4,NA,2015
"269","FCR",50,2015-10-19 12:00:00,9,1.7,-0.1,0,4,NA,2015
"270","FCR",50,2015-11-09 12:00:00,1.6,4.9,0.4,0,4,NA,2015
"271","FCR",50,2015-11-09 12:00:00,3.8,4.3,-0.2,0,4,NA,2015
"272","FCR",50,2015-11-09 12:00:00,5,10.1,-1.8,0,4,NA,2015
"273","FCR",50,2015-11-09 12:00:00,6.2,2.9,-1.6,0,4,NA,2015
"274","FCR",50,2015-11-09 12:00:00,9,3.5,-1.4,0,4,NA,2015
"275","GWR",50,2014-05-20 12:00:00,9,0.6,1.5,4,0,NA,2014
"276","GWR",50,2015-05-09 12:00:00,0.1,1.2,2.2,0,0,NA,2015
"277","GWR",50,2015-05-09 12:00:00,5,5.2,1.9,0,0,NA,2015
"278","GWR",50,2015-05-09 12:00:00,14,0.6,1.5,4,0,NA,2015
"279","GWR",50,2015-05-20 12:00:00,5,10.4,6.6,0,0,NA,2015
"280","GWR",50,2015-05-20 12:00:00,13,0.6,0.3,4,4,NA,2015
"281","GWR",50,2015-05-30 12:00:00,0.1,4.6,2,0,0,NA,2015
"282","GWR",50,2015-05-30 12:00:00,5,8.1,5.6,0,0,NA,2015
"283","GWR",50,2015-05-30 12:00:00,9,1.7,0.8,0,0,NA,2015
"284","GWR",50,2015-05-30 12:00:00,13,0.6,1.5,4,0,NA,2015
"285","GWR",50,2015-06-10 12:00:00,0.1,2.3,0.6,0,4,NA,2015
"286","GWR",50,2015-06-10 12:00:00,5,2.3,4.7,0,0,NA,2015
"287","GWR",50,2015-06-10 12:00:00,9,1.2,1.3,0,0,NA,2015
"288","GWR",50,2015-06-10 12:00:00,14,1.7,-0.1,0,4,NA,2015
"289","GWR",50,2015-06-22 12:00:00,0.1,1.2,0.1,0,4,NA,2015
"290","GWR",50,2015-06-22 12:00:00,5,8.1,4,0,0,NA,2015
"291","GWR",50,2015-06-22 12:00:00,9,1.7,1.2,0,0,NA,2015
"292","GWR",50,2015-06-22 12:00:00,14,1.9,0.2,0,4,NA,2015
