datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Air_Temperature_celsius	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Vapour_Pressure_milliBar	Longwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerHour
71	-0.11017476	-1.0817553	-1.7157043	103.07513	3.5380439	257.23257	7.35976e-10
72	1.5329179	-1.9057659	-2.9529785	225.46954	3.112484	234.71048	0
73	1.2630451	-1.9076322	-5.4476685	236.41833	2.0724485	210.15666	0
74	0.41144684	-1.4140297	-5.1738647	118.68715	2.1923943	244.91068	0
75	2.1659052	-1.1033034	-6.213385	240.24901	2.0495114	213.31352	0
76	0.85833859	-1.5902241	-4.7398743	160.68526	2.5058322	240.37479	0
77	0.71769005	-1.7637832	-4.3095764	236.11552	2.5067108	231.62534	0
78	0.61094534	-2.469353	-3.4697632	205.66765	2.6410721	229.67485	0
79	2.2091696	-2.690594	-5.8102783	232.58253	2.2595803	227.18605	0
80	2.4255629	-1.7386217	-4.0776733	248.17178	2.6275276	223.80219	0
81	2.2394717	-1.3475066	-0.60077515	251.929	2.8931662	228.64363	0
82	0.87489486	-0.22770144	2.3010803	240.94344	3.7848566	242.79277	0
83	-1.11836	0.2959125	2.6013733	174.03545	4.4329814	254.63838	0
84	-0.85589069	0.96113664	3.1797119	45.891777	6.4171395	288.35355	4.0898692e-10
85	-0.91690075	1.7762371	9.0624939	149.06302	10.280026	316.48462	5.905232e-10
86	0.038755391	3.0314002	13.596429	188.99313	13.476722	310.92294	2.4032611e-10
87	2.2274566	0.12659162	13.221643	189.65033	11.085511	310.18021	1.7582393e-10
88	0.35794821	-1.7629187	4.7882629	147.06432	4.7275077	272.57925	1.1347776e-09
89	-1.8135628	-1.0901122	2.0846497	27.962238	6.6470553	310.48233	8.7303991e-09
90	1.9545677	-0.58032411	6.4435974	68.961388	8.5030698	331.03369	9.5939831e-09
91	0.89317709	0.53347635	4.6915527	226.04613	5.2833995	261.38269	0
92	-2.4357088	-0.82462639	4.2437988	46.032074	6.8923789	312.23862	1.0841143e-08
93	2.8025396	0.41456139	2.9252563	120.67231	6.1643691	301.85336	3.8747709e-09
94	1.2662202	1.4998107	4.9904114	256.57794	4.8838669	265.3815	0
95	0.3830159	1.9577136	11.193964	129.36226	8.3473766	310.20874	5.495992e-10
96	-0.53377801	1.2959331	12.824304	118.53912	12.03443	330.02823	3.6282845e-09
97	0.82153457	-1.547853	10.103937	147.46571	9.8565176	327.1781	7.1363888e-10
98	-1.207059	1.5019996	8.5593811	208.65634	8.4285774	281.20166	4.4160697e-10
99	-1.545853	1.9852738	9.5862976	30.163795	11.489319	348.21857	1.3174924e-08
100	1.9874618	-2.1089382	10.410211	253.23059	8.5048255	309.04224	1.0527681e-09
101	0.65939605	-1.1542943	7.7546631	285.36081	5.5225165	251.95013	0
102	-0.4974401	-0.68952149	8.1071411	274.83997	5.9873766	256.52267	0
103	-0.61927003	1.4440337	9.562738	262.15036	7.431442	273.44797	0
104	-0.73430419	1.3935851	9.4851929	25.701544	10.669866	343.72131	8.1164659e-09
105	2.5241377	0.16706528	9.4074036	160.50874	7.1926866	296.45047	1.3791329e-09
106	1.5340259	-1.621647	2.7077271	307.41162	3.7368175	244.72137	0
107	1.3154374	-1.3270375	1.0732666	271.68854	3.1723741	234.4899	0
108	1.2686567	-1.1932042	1.0306335	306.87601	3.333767	238.49072	0
109	0.67934161	0.53451985	5.59646	294.98666	4.5330587	251.54736	0
110	0.42941394	0.8359288	10.60705	103.34988	9.5351105	322.79364	1.4692093e-09
111	0.40513736	-0.32433337	11.00152	242.53777	9.1913544	291.65228	0
112	-1.1502035	0.4530144	8.41427	40.758739	9.9228091	341.5994	6.5435925e-09
113	0.38471535	-1.7096921	6.381189	96.908508	8.2023357	331.19122	5.0680255e-09
114	0.52332056	-1.0824363	3.5247437	143.92029	6.4952289	306.12949	2.085261e-09
115	0.93111092	-0.99557227	4.5226074	282.21964	5.5323002	269.16132	0
116	0.92716235	-0.046423644	6.3013855	292.29355	4.9275706	256.45044	0
117	0.62435073	-0.73698109	6.6200806	142.39638	5.4780256	295.28439	1.4794578e-10
118	0.91254413	-0.9420585	6.2722412	204.1541	6.3490287	289.43478	1.3927999e-09
119	1.1311995	-0.98851764	6.9438416	253.9994	6.21813	283.6871	0
120	0.90055585	0.44258949	8.27276	145.31635	6.3601034	302.72534	1.4999211e-10
121	-0.3760536	0.12809721	8.3844543	57.075382	9.2925999	327.96304	4.6247942e-09
122	0.94024479	-1.218459	7.3495728	134.4256	8.5416595	328.15906	4.6481109e-09
123	2.001904	-0.32912248	4.3023621	308.2341	3.8403825	256.12213	0
124	1.1884832	-0.69523382	6.0723206	294.21445	5.0239229	270.80228	0
125	0.81974053	-0.25516453	8.709436	334.61459	5.8432217	263.54047	0
126	0.50814211	0.027754296	11.662592	309.51038	7.7577207	283.58469	0
127	0.062148053	1.333531	13.492609	219.81543	8.5544249	308.58139	5.9855764e-10
128	-0.67434216	1.6458507	9.7151428	47.050243	10.816802	355.49344	4.4590176e-09
129	-0.50150657	1.3858727	13.691797	88.303726	14.250989	368.48459	1.4388303e-09
130	0.89394689	0.36764714	14.787256	234.96394	13.166976	343.86166	4.0838059e-10
131	0.87989515	-0.27732912	10.209009	175.70073	7.3382326	301.20877	0
132	0.43774	-0.41112274	11.22793	326.81818	7.6456778	281.45578	0
133	0.44613793	0.45734832	12.583215	317.71838	8.2878299	288.6936	0
134	0.40752837	0.25099167	16.041925	308.901	9.7964554	307.59131	0
135	0.38032037	0.54957235	18.516443	300.68002	11.802739	321.98862	0
136	0.012513483	0.65838826	16.636835	151.31145	12.188996	350.67075	3.6445023e-09
137	0.86408144	-0.48222476	15.375574	317.59656	10.401862	314.29379	0
138	-0.43943396	0.039908472	13.204858	173.21039	9.931982	324.09671	4.2979024e-09
139	0.20315473	-0.70419759	14.889429	296.82648	12.888221	341.83185	2.7637131e-09
140	-0.0017028332	0.54435903	16.185541	304.59018	12.276778	316.06384	0
141	0.13960698	0.5709613	19.37179	312.54895	14.332948	330.78806	0
142	0.25388476	0.28199011	22.106409	292.92487	16.965238	351.06049	5.6371512e-10
143	0.0064995196	0.028451804	19.927332	167.58514	18.327588	378.0159	3.1441541e-09
144	0.82525104	-0.78153497	16.049066	298.81805	10.781136	326.40918	9.7603652e-10
145	-0.021950455	0.31946552	14.279688	341.90765	7.9418753	288.55264	0
146	0.23664057	0.9231602	13.398676	128.2686	10.361584	331.88406	2.8514214e-09
147	0.56546026	-0.22054341	8.8845764	146.0473	7.0173345	310.69	1.4442101e-09
148	0.10766114	0.12041252	8.4308105	184.50797	8.7918019	328.11951	1.1092101e-09
149	-0.69410092	0.19582416	7.72146	51.116932	9.7221992	357.46289	7.2233876e-09
150	1.1678187	-0.21639493	12.996423	286.87518	10.506922	331.98602	8.5517369e-10
151	0.55311495	0.37527573	12.309534	188.22086	8.5689009	321.05511	5.788559e-10
152	-0.26178116	-0.16165324	14.24502	331.71585	10.064436	311.91443	0
153	-0.77735025	0.93469805	16.261896	188.34784	12.009124	341.08395	0
154	-0.37928629	1.4431701	16.755701	211.27264	12.240469	347.8555	1.8716922e-10
155	-0.70444769	0.85387355	14.871332	36.766014	14.809184	380.69778	7.5829545e-10
156	-0.53900748	0.62522316	14.769708	26.684277	16.596073	394.87119	4.8304925e-09
157	0.6995734	-0.0010871852	15.792413	212.15546	14.505126	362.25742	7.2141211e-10
158	0.45168614	0.43981352	15.880334	230.13589	13.561714	346.17468	2.7591689e-10
159	0.87066847	0.049415689	18.195886	240.87177	14.673523	366.91095	8.8232673e-10
160	1.0195949	-0.54893553	15.130914	358.21896	7.7758171	302.56586	0
161	0.26187384	-0.36321568	14.837122	328.03671	7.6654064	305.4996	0
162	-0.089695148	1.3260903	18.138147	283.10049	10.564381	347.56909	0
163	0.34734827	1.1364744	21.545679	215.18781	20.294083	389.31967	6.3133689e-10
164	0.27204025	1.1298553	20.805383	139.42297	20.022204	389.05377	1.3673836e-09
165	1.1850593	-0.25799027	18.273523	251.31061	14.087632	364.99316	1.0591565e-09
166	0.48434961	-0.14158016	15.424554	320.3688	9.8057272	314.20416	0
167	-0.37946787	0.56260836	13.48913	224.07956	10.289804	327.28162	1.9743652e-09
168	-0.39352566	0.25244293	13.580133	77.749924	15.02098	385.40173	6.5604521e-09
169	-0.26456496	-0.18890315	15.180811	128.28661	16.427633	380.17767	2.6455051e-09
170	-0.18995984	-0.094846405	16.428644	149.24052	17.590092	389.02582	2.9382939e-09
171	-0.23263268	0.25211471	17.571497	208.75873	17.830116	378.75656	1.8735601e-09
172	0.018859802	0.24241798	18.002344	187.21916	18.440047	381.86902	2.9210933e-09
173	0.65757859	-0.29930192	18.839685	302.87283	16.284786	351.10233	0
