par_id,rmse,nse,r,bias,mae,nmae
p0001,3.47062106254865,0.526862283814155,0.899298704461264,-2.6782125,2.70120651408451,0.206979292026174
p0002,5.53792493602294,-0.20466780142181,0.834215762121715,-2.80639137323944,4.9844301056338,0.39686002237594
p0003,4.82835215827079,0.084262394629674,0.851249103248654,-2.54812588028169,4.31612940140845,0.343322870791246
p0004,6.21934820809959,-0.519367801054284,0.812182338362279,-4.6228573943662,5.58395598591549,0.470135481311354
p0005,4.02131611817872,0.364801297609965,0.877842788827566,-1.19276584507042,3.34820528169014,0.249568298639653
p0006,5.17459892696669,-0.0517840031913275,0.841695124082743,-2.40528204225352,4.58996232394366,0.359585454882936
p0007,2.24138346711073,0.80266437234859,0.919256119745839,-0.944344190140845,1.53130616197183,0.111361659746203
p0008,5.52802153791908,-0.200363070839606,0.834179500831564,-4.43991971830986,4.76094436619718,0.403055319384326
p0009,5.43412303052644,-0.159930869517629,0.836967313064178,-3.65281778169014,4.8631875,0.403908781805899
p0010,4.81627282372509,0.0888385580780265,0.894878209394738,-4.16125299295775,4.18434454225352,0.360690169269528
p0011,5.8827721552407,-0.359368585288981,0.844005858263889,-4.84222376760563,5.11476954225352,0.443419777902883
p0012,2.62506267240074,0.729322269808806,0.915260541203596,1.17267235915493,2.06113855633803,0.161637121802628
p0013,4.79894250922703,0.0953839948468078,0.853747126992613,-2.94327394366197,4.29724929577465,0.349578594236128
p0014,3.07155381325909,0.629413640314341,0.904450199884644,-0.743525,2.43849154929577,0.182450236461513
p0015,4.58679590963999,0.173596769717121,0.873057739663756,-0.946272535211268,3.80232288732394,0.281912461052622
p0016,4.90920475063727,0.0533368660715962,0.857713229092281,-1.33075580985915,4.16233221830986,0.312441534505354
p0017,3.370436417389,0.55378367984283,0.888582214460939,-2.4500426056338,2.50096232394366,0.186809822924328
p0018,5.62332921201871,-0.24211038309184,0.833465485326905,-4.7268448943662,4.78230616197183,0.402158928332279
p0019,5.37538977695971,-0.134992770041226,0.867057053910453,-4.62347904929577,4.64994031690141,0.398302917101987
p0020,5.28923320888533,-0.0989010922885194,0.840121112861183,-3.12948644366197,4.77333503521127,0.387820225763351
p0021,2.11342118039018,0.824553267611423,0.915472511068446,-0.392050528169014,1.59053996478873,0.122899049242463
p0022,5.86389762842256,-0.350659671207429,0.816826467408206,-4.10896725352113,5.24472429577465,0.435707953797357
p0023,5.82904450032124,-0.334651610013942,0.811267518669043,-4.13141373239437,5.18845598591549,0.429122880927429
p0024,2.76931989637042,0.698755293042401,0.901702555091099,-0.33291426056338,2.19963538732394,0.164660479787105
p0025,3.97409159574749,0.379632670790774,0.878335190389141,-3.14433327464789,3.17787200704225,0.251283022292081
p0026,6.0114949820833,-0.4195090015662,0.825632207242765,-3.98841443661972,5.49977007042254,0.457717034688428
p0027,4.77167321055861,0.105635485506697,0.859925975495421,-3.15161285211268,4.25971496478873,0.352755775705474
p0028,6.65845552021115,-0.74148676743236,0.787216077967635,-5.50364207746479,5.75542376760563,0.487005082691414
p0029,5.94499672972967,-0.388277909408004,0.812355659116081,-4.86311919014085,5.09739031690141,0.429161621838075
p0030,4.11669886546991,0.334311012505257,0.879587005941243,-0.664741725352113,3.28372693661972,0.235083561252791
p0031,6.26043972868632,-0.5395111924439,0.84461506519693,-3.13717218309859,5.81051725352113,0.475339277864963
p0032,5.20163361400857,-0.0628028010415338,0.839883239810647,-2.74671461267606,4.66366883802817,0.371436279197776
