"year","FLake","GLM","GOTM","MyLake","Obs","Simstrat","mean"
2008,96,199,157,162,135,144,151.6
2009,125,180,152,156,105,138,150.2
2010,104,190,152,160,63,131,147.4
2011,87,192,160,166,146,146,150.2
2012,101,190,155,173,134,152,154.2
2013,125,194,150,170,135,153,158.4
2014,98,176,144,153,105,136,141.4
