"datetime","FLake","GLM","GOTM","MyLake","Obs","Simstrat","mean"
2005-07-25,45.1750045703259,508.873236039192,486.554345505262,508.236651227523,581.499017594341,622.400933205835,434.248034109627
2005-08-22,28.9665233214249,507.454638491577,380.827190948099,457.113004646312,539.91040687304,637.098208845884,402.291913250659
2006-05-31,23.9804382997632,238.391142267343,236.402937153014,291.9508336314,208.560851436049,258.257052101622,209.796480690628
2006-07-05,62.4694815417005,473.850894654801,378.54665122836,453.171972746154,425.804242754445,400.397131689258,353.687226372055
2006-07-24,74.9364993389169,589.766522902676,437.729598529181,502.126372522838,470.881180547041,596.621286573487,440.23605597342
2006-08-15,55.5157972753326,564.84370069214,317.59413642315,381.570975687362,398.019783794869,456.99670385445,355.304262786487
2006-09-11,16.3126895438215,228.055021332998,83.5119290190316,127.263502055859,283.335687576427,215.562442740587,134.141116938459
2007-06-11,18.6743976826946,404.161544880237,276.940363759462,360.095901862188,501.366908268086,384.645498355142,288.903541307945
2007-07-16,48.3269534088519,410.736356734041,381.724028529307,480.736441289795,479.425133177868,502.140280984427,364.732812189285
2007-08-14,43.1816701111006,452.711013895252,349.193760035139,439.414877876441,539.560585492721,579.209908698682,372.742246123323
2007-08-28,26.0080372469658,455.220777265755,259.692997695792,382.642802057225,465.634305738432,466.475879026761,318.0080986585
2007-08-29,26.0574836952835,472.737555607999,264.464134537193,392.073142089968,480.728237878264,484.272339316098,327.920931049308
2007-08-30,26.3221162256564,486.368493944915,270.253754794213,404.666615771297,507.140132476993,498.292182280944,337.180632603405
2007-08-31,26.7253833619256,507.300381784789,273.81638974873,380.872250302055,501.2153590934,498.35462354796,337.413805749092
2007-09-01,25.6538375731199,459.338535316475,256.215849249088,338.209008506852,471.715107929597,460.719074550465,308.0272610392
2007-09-02,23.4496357768294,429.849850912197,227.095460830781,328.232183328442,430.497837262159,430.011428254482,287.727711820546
2007-09-03,21.8205450761444,431.523724093259,209.78270660608,312.085246988096,404.068573114348,419.902791085352,279.023002769786
2007-09-04,20.7283206976442,405.534316307152,199.200473192015,301.817598163684,395.624357796542,409.200612389613,267.296264150022
2007-09-05,19.9214374113916,403.401617547093,188.821668655632,289.813040801055,398.172801685387,391.616603998909,258.714873682816
2007-09-06,18.5825259067376,398.105937615099,174.652934851911,274.571745452643,389.252367756448,392.14239464507,251.611107694292
2007-09-07,17.6109931550055,388.060063935336,170.059335488928,287.56092812808,333.903194845014,395.996139733876,251.857492088245
2007-09-08,17.661723409328,399.324497510725,180.584162644529,294.036188017709,340.917526117703,396.079479104319,257.537210137322
2007-09-09,17.647857417834,409.752099842902,189.045473865619,288.13719271474,363.38156549201,393.375413537483,259.591607475716
2007-09-10,17.0240759288138,415.771248174119,181.429327078281,272.970941988367,322.927143690591,385.362831,254.511684833916
2007-09-11,15.9371996114245,406.704605553474,161.953917740078,240.563118298581,277.607245058771,367.760462657524,238.583860772216
2007-09-12,14.2131170003327,383.481451496424,137.717042194427,198.584234230187,306.245782173751,347.064471319006,216.212063248075
2007-09-13,12.3984289830424,337.361642512167,115.51227260037,191.225843857037,243.529112344718,333.096020701387,197.9188417308
2007-09-14,11.4574849205357,338.711174422368,101.479825049178,178.541424670155,140.341124917895,321.863466851517,190.410675182751
2007-09-15,10.6325550840514,313.218088847512,88.1372850241584,148.073953185654,132.352562658884,309.544861323717,173.921348693018
2007-09-16,8.93538507796421,299.601144799067,72.2505069237764,131.163759122682,201.303387696807,285.132694392249,159.416698063148
2007-09-17,7.79029106484854,285.930069179781,55.3933796171558,126.738264939644,199.091946656415,273.638926310203,149.898186222326
2007-09-18,6.90433700025618,289.811185583304,45.2956101552213,122.275103580142,192.967661046548,266.502948487951,146.157836961375
2007-09-19,6.11814856662726,288.577053806421,37.8650819751512,121.426821748227,208.122471192752,262.289539670398,143.255329153365
2007-09-20,5.53400915194691,289.861289326568,33.6478935962258,124.943501827048,186.062054732994,263.24847860507,143.447034501372
2007-09-21,5.25794535642743,294.795262211776,34.4857782069314,136.911980776593,218.286201596959,272.709956295744,148.832184569494
2007-09-22,5.20333872114183,308.393614789599,40.8711672612592,137.131443151175,194.886421921866,280.71849274017,154.463611332669
2007-09-23,5.03037755489405,287.807115568392,43.9745725238208,128.987409975866,207.045138620858,275.674905106089,148.294876145812
2007-09-24,4.63234300414352,282.891854387529,39.4345278958381,122.437066914982,179.147979229876,257.174766155944,141.314111671687
2007-09-25,4.35755765290873,279.560535045424,33.8940446044632,123.014494300701,171.209616840614,249.950436076221,138.155413535944
2007-09-26,4.16683703193699,280.85865586968,36.3386831082427,137.817072861239,203.76176506429,250.658742469343,141.967998268088
2007-09-27,4.54054764311836,290.025590293416,49.7230748041482,145.586426774118,206.846056739981,255.72303661489,149.119735225938
2007-09-28,5.20269123170102,300.549459583884,55.464822905616,136.189697546896,133.090685906701,257.982289759291,151.077792205478
2007-09-29,4.86874323079906,294.316804516193,48.5082063658135,110.36704957002,133.74625614884,243.263359266002,140.264832589766
2007-09-30,4.15631469831759,272.224062575606,29.6099740673304,101.921165857017,162.373312187695,221.479088963668,125.878121232388
2007-10-01,3.57325088306037,269.452751658103,17.5918718349151,90.6746341638545,69.7569116427225,211.328164184279,118.524134544843
2007-10-02,3.13706343653928,249.413549464605,9.75907289185122,82.1297827310067,73.1573157546459,203.760919977816,109.640077700364
2007-10-03,2.7217733281445,251.457724748876,5.23586455914407,74.200765505786,107.30682172467,196.922726650488,106.107770958488
2007-10-05,2.4914867403749,248.307851450014,12.5084545317533,100.321761923163,91.5953499719591,211.781262935194,115.0821635161
