"datetime","GLM","GOTM","MyLake","Obs","Simstrat","mean"
2007-06-11,6.69501638412476,7.78815126419067,6.076491355896,6.69999980926514,8.12409973144531,7.17093968391418
2007-09-11,10.3326778411865,14.8761768341064,12.2630462646484,8,10.7270002365112,12.0497252941132
2008-07-01,7.78512287139893,9.56884288787842,7.55956506729126,7.69999980926514,11.1479997634888,9.01538264751434
2008-07-29,9.14542675018311,11.7005491256714,9.53137588500977,7.80000019073486,11.4870004653931,10.4660880565643
2008-09-02,10.2179479598999,14.381383895874,11.8731174468994,8,11.9910001754761,12.1158623695374
2009-08-12,9.60122013092041,12.877405166626,10.3936471939087,8.39999961853027,11.3620004653931,11.058568239212
2009-09-01,10.1679229736328,14.3127613067627,11.6945381164551,19.2000007629395,11.7110004425049,11.9715557098389
2009-10-05,10.2745981216431,14.8655338287354,13.8537397384644,8.5,15.2690000534058,13.5657179355621
2011-06-21,7.24864149093628,8.81356430053711,7.39557647705078,7.69999980926514,10.5719995498657,8.50744545459747
2011-07-19,8.51045036315918,10.9698677062988,9.24715042114258,7.80000019073486,11.4809999465942,10.0521171092987
2012-05-23,5.85794734954834,7.22776794433594,6.66213178634644,8.69999980926514,9.49230003356934,7.31003677845001
2012-09-17,10.3804798126221,15.9205474853516,14.0135526657104,9,12.41100025177,13.1813950538635
2013-07-15,8.19344615936279,10.7173042297363,8.29145431518555,7.90000009536743,10.923999786377,9.53155112266541
2013-08-19,9.7569055557251,13.3702983856201,10.703652381897,8.10000038146973,11.5150003433228,11.3364641666412
2013-09-17,10.3704080581665,15.5738573074341,12.6318883895874,8.30000019073486,12.3430004119873,12.7297885417938
2014-05-27,6.09659910202026,6.87797737121582,5.58508634567261,6.69999980926514,10.1180000305176,7.16941571235657
2014-06-09,6.61677694320679,7.85541534423828,6.10564804077148,7,10.2410001754761,7.70471012592316
2014-07-22,8.55766105651855,11.1533575057983,8.87655353546143,7.59999990463257,11.6879997253418,10.06889295578
2014-08-19,9.73571586608887,13.3050518035889,10.7335643768311,7.80000019073486,12.7419996261597,11.6290829181671
2014-09-15,10.3389015197754,15.3394336700439,12.5144424438477,8,13.9219999313354,13.0286943912506
