"datetime","FLake","GLM","GOTM","MyLake","Obs","Simstrat","mean"
2005-07-25,9.46571833627857,13.2728969149045,3.79224552703695,4.39212422863433,8.10359735780802,4.82568981082475,7.14973496353583
2006-05-31,8.80923113721619,1.58706739227211,1.55765754017474,1.76868509659897,4.56264549202722,2.0419032401023,3.15290888127286
2006-07-05,8.54369010210218,13.4039218050108,2.78774677663195,4.48168585318681,14.4534709402997,5.36457028394294,6.91632296417493
2006-07-24,9.46943792662521,13.3962574126741,3.63505616206597,4.55192163827058,5.6820158349556,4.80365091369582,7.17126481066634
2006-08-15,10.5,13.3837923531347,6.19756125393131,6.59527308191533,7.89898826560886,6.46043197782941,8.62741173336214
2007-06-11,6.5813326242847,13.3815241526772,2.34832514090842,3.26237202054952,11.3192794647076,3.42650530208918,5.8000118481018
2007-07-16,8.53291987506375,13.2990077872272,3.52917435576858,4.64152470683408,7.63320840059134,4.75009311841495,6.95054396866171
2007-08-14,9.55228405526586,13.3756021086739,4.98186345446411,5.56077165919588,7.82841861131424,5.69338515096337,7.83278128571262
2007-08-28,10.5,13.3560421120488,2.66541143703766,7.24274382060215,7.46555351915068,6.4812114195609,8.04908175784989
2007-08-29,10.5,13.363197636036,2.81843523096051,7.20523805970883,7.21001693206371,6.40742543273594,8.05885927188826
2008-05-06,7.2089700954678,1.16745471673797,1.6659759109521,1.83666940766915,0.55,5.09855741135383,3.39552550843617
2008-05-07,6.99828904638262,1.52748454050211,1.65405742846649,2.48296899699709,0.55,5.27487262111186,3.58753452669203
2008-05-08,6.85173737973636,1.68123697491795,1.66671360990107,3.53795042847788,5.4597583314426,5.28856801987288,3.80524128258123
2008-05-09,6.70040399120765,16.5316970276427,1.67979694612091,3.83710127402061,0.55,4.91770526727703,6.73334090125379
2008-05-10,6.91496535784396,16.4601068192356,1.96864107465315,4.43404953033012,6.76213589825739,5.61513371583809,7.07857929958018
2008-05-11,7.47012340481299,16.4659815441399,2.48523168151998,4.26849300594261,0.55,5.40764555216959,7.21949503771701
2008-05-13,7.1140291387712,18.8469041965936,3.27205086403358,4.91610788690883,8.99619641504474,7.5414969452815,8.33811780631774
2008-05-14,7.4908094684886,18.6114909157634,3.01640706483856,4.84696539120029,0.55,3.96507293767515,7.5861491555932
2008-05-15,7.44118256791552,1.09601476102545,2.0138201497717,4.44219951627119,0.55,3.02456140853349,3.60355568070347
2008-05-16,7.39164073153486,18.6496515161811,2.29105966960261,3.79243753332965,0.55,3.51918616367533,7.12879512286472
2008-05-17,7.5591304640664,18.660722935569,2.47500837272136,3.6566028889111,8.84816645360889,3.76414746984846,7.22312242622326
2008-05-18,7.51486370457025,18.9308614325332,2.43654900862184,3.81401274125411,2.27447272818776,4.01479203537328,7.34221578447053
2008-05-19,7.57266246480698,13.6874055884532,2.75927893094902,5.41142509109641,5.45477725778875,6.7466634549927,7.23548710605967
2008-05-20,7.68558607365335,18.4176076117044,3.63803987996769,5.56740573086925,2.17433853556312,8.90217871571289,8.84216360238151
2008-05-21,8.13216765288168,18.4599125283186,3.75753453446521,5.52588792749936,2.19478375428902,6.7242587675235,8.51995228213766
2008-05-22,8.4095448485324,18.4778062000181,3.75978240546813,5.54657279101032,5.64743334566256,6.00429833720285,8.43960091644635
2008-05-23,8.54590669022308,18.4926633473126,3.77458672446227,6.40981885574121,5.71103310564408,9.95605772336673,9.43580666822119
2008-05-27,6.68562444305454,16.5870497959394,1.71501059915165,6.36844643756885,2.12640336602808,7.59151919893693,7.78953009493027
2008-05-28,6.6478524086707,4.49844442224763,1.84994471763602,6.2520861186021,8.02561078657291,7.45431960236766,5.34052945390482
