Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
       25   25.0000       23.2174       16.0724       7.68275      0.650397E-01  0.221787E-02  0.156138E-02  -185.814      -7.76796      -53.8547       390.242       0.00000      -433.052       2.69499      0.500838       5.00000       4.00000      0.804313       0.00000       0.00000       0.00000       0.00000    
       26   26.0000       23.4152       16.1994       7.72703      0.672868E-01  0.229359E-02  0.329745E-02  -170.413      -7.27311      -54.2984       323.933       0.00000      -434.209       2.69500      0.500855       5.00000       4.00000      0.813984       0.00000       0.00000       0.00000       0.00000    
       27   27.0000       23.5651       16.2946       7.75908      0.120328      0.410034E-02  0.573032E-02  -272.522      -20.2861      -125.590       382.096       0.00000      -435.088       2.69501      0.500891       5.00000       4.00000      0.820983       0.00000       0.00000       0.00000       0.00000    
       28   28.0000       23.6790       16.3624       7.77612      0.844283E-01  0.287635E-02  0.569612E-02  -263.185      -22.3468      -110.263       366.890       0.00000      -435.756       2.69502      0.500998       5.00000       4.00000      0.824704       0.00000       0.00000       0.00000       0.00000    
       29   29.0000       23.7872       16.4265       7.79200      0.133685      0.455345E-02  0.691351E-02  -239.553      -22.0973      -139.673       167.668       0.00000      -436.392       2.69503      0.501104       5.00000       4.00000      0.828174       0.00000       0.00000       0.00000       0.00000    
       30   30.0000       23.0229       16.3812       7.52346      0.833187E-01  0.284231E-02   0.00000      -182.198      -2.08875      -66.8776       375.270       0.00000      -431.916       4.78914      0.501259       5.00000       4.00000      0.769524       0.00000       0.00000       0.00000       0.00000    
       31   31.0000       23.7318       16.5010       7.52346      0.137262      0.467580E-02  0.493646E-02  -152.423       5.29889      -90.2172       186.473       0.00000      -436.066       3.62881      0.501229       5.00000       4.00000      0.769524       0.00000       0.00000       0.00000       0.00000    
       32   32.0000       23.7651       16.5218       7.53121      0.933713E-01  0.318047E-02  0.529513E-02  -271.475      -29.5719      -102.817       373.035       0.00000      -436.262       3.62882      0.501311       5.00000       4.00000      0.771216       0.00000       0.00000       0.00000       0.00000    
       33   33.0000       23.8609       16.5846       7.55622      0.663401E-01  0.225928E-02  0.333527E-02  -231.856      -17.7027      -79.8344       374.184       0.00000      -436.825       3.62883      0.501407       5.00000       4.00000      0.776678       0.00000       0.00000       0.00000       0.00000    
       34   34.0000       23.9919       16.6729       7.59267      0.604329E-01  0.205756E-02  0.493859E-02  -215.033      -17.8542      -81.3376       294.557       0.00000      -437.596       3.62884      0.501444       5.00000       4.00000      0.784640       0.00000       0.00000       0.00000       0.00000    
       35   35.0000       24.0670       16.7219       7.61218      0.599867E-01  0.204206E-02  0.599189E-02  -222.034      -26.9664      -81.7053       249.144       0.00000      -438.039       3.62885      0.501526       5.00000       4.00000      0.788901       0.00000       0.00000       0.00000       0.00000    
       36   36.0000       24.0956       16.7384       7.61730      0.106046      0.360980E-02  0.609403E-02  -233.902      -29.5936      -91.6654       262.846       0.00000      -438.208       3.62886      0.501646       5.00000       4.00000      0.790018       0.00000       0.00000       0.00000       0.00000    
       37   37.0000       24.1262       16.7559       7.62278      0.900597E-01  0.306543E-02  0.319968E-02  -197.805      -12.9278      -68.4252       318.813       0.00000      -438.388       3.62886      0.501770       5.00000       4.00000      0.791215       0.00000       0.00000       0.00000       0.00000    
       38   38.0000       24.2377       16.8308       7.65359      0.878286E-01  0.298881E-02  0.340256E-02  -181.549      -10.6422      -63.3387       287.079       0.00000      -439.046       3.62887      0.501804       5.00000       4.00000      0.797944       0.00000       0.00000       0.00000       0.00000    
       39   39.0000       24.3351       16.8961       7.68035      0.600856E-01  0.204431E-02   0.00000      -157.144      -8.96311      -39.8490       277.136       0.00000      -439.622       3.62888      0.501842       5.00000       4.00000      0.803789       0.00000       0.00000       0.00000       0.00000    
       40   40.0000       24.4965       16.9704       7.68035      0.126868      0.431505E-02  0.428007E-02  -205.254      -9.66484      -85.6296       307.081       0.00000      -440.576       3.56938      0.501828       5.00000       4.00000      0.803789       0.00000       0.00000       0.00000       0.00000    
       41   41.0000       24.5916       17.0334       7.70564      0.704304E-01  0.239503E-02  0.390225E-02  -221.659      -12.9265      -81.2643       347.262       0.00000      -441.140       3.56939      0.501889       5.00000       4.00000      0.809312       0.00000       0.00000       0.00000       0.00000    
       42   42.0000       24.7083       17.1112       7.73714      0.648030E-01  0.220314E-02  0.316820E-02  -213.790      -12.4613      -71.5553       350.602       0.00000      -441.832       3.56940      0.501939       5.00000       4.00000      0.816192       0.00000       0.00000       0.00000       0.00000    
       43   43.0000       24.8346       17.1960       7.77171      0.633650E-01  0.215370E-02  0.301578E-02  -191.193      -9.10449      -64.1543       314.258       0.00000      -442.582       3.56941      0.501971       5.00000       4.00000      0.823741       0.00000       0.00000       0.00000       0.00000    
       44   44.0000       24.9482       17.2722       7.80278      0.823076E-01  0.279689E-02  0.481194E-02  -179.017      -14.4319      -59.6525       242.929       0.00000      -443.257       3.56942      0.502000       5.00000       4.00000      0.830526       0.00000       0.00000       0.00000       0.00000    
       45   45.0000       25.0091       17.3115       7.81805      0.850521E-01  0.288979E-02  0.421515E-02  -203.926      -13.3539      -70.7875       308.053       0.00000      -443.619       3.56943      0.502074       5.00000       4.00000      0.833861       0.00000       0.00000       0.00000       0.00000    
       46   46.0000       25.1063       17.3759       7.84387      0.830833E-01  0.282234E-02  0.378368E-02  -204.120      -13.0240      -67.2599       320.926       0.00000      -444.198       3.56944      0.502131       5.00000       4.00000      0.839502       0.00000       0.00000       0.00000       0.00000    
       47   47.0000       25.2148       17.4482       7.87308      0.582002E-01  0.197662E-02  0.461176E-02  -175.835      -11.8453      -56.5426       246.156       0.00000      -444.845       3.56944      0.502176       5.00000       4.00000      0.845880       0.00000       0.00000       0.00000       0.00000    
       48   48.0000       25.2814       17.4915       7.89007      0.125006      0.424493E-02  0.481089E-02  -210.042      -9.67790      -87.7941       297.694       0.00000      -445.242       3.56945      0.502243       5.00000       4.00000      0.849591       0.00000       0.00000       0.00000       0.00000    
       49   49.0000       25.3642       17.5456       7.91135      0.458392E-01  0.155634E-02  0.603202E-02  -133.029      -10.8016      -45.9786       101.144       0.00000      -445.736       3.56946      0.502316       5.00000       4.00000      0.854238       0.00000       0.00000       0.00000       0.00000    
       50   50.0000       25.1047       17.5252       7.82537      0.684646E-01  0.232575E-02  0.609789E-02  -193.177      -20.3721      -69.2804       199.821       0.00000      -444.189       4.18930      0.502430       5.00000       4.00000      0.835460       0.00000       0.00000       0.00000       0.00000    
       51   51.0000       25.0774       17.5288       7.81489      0.566989E-01  0.192617E-02  0.623445E-02  -235.228      -24.0144      -90.0831       258.209       0.00000      -444.026       4.28582      0.502551       5.00000       4.00000      0.833173       0.00000       0.00000       0.00000       0.00000    
       52   52.0000       25.1011       17.5426       7.82047      0.948359E-01  0.322161E-02  0.645575E-02  -287.958      -27.8728      -122.557       328.554       0.00000      -444.167       4.28582      0.502679       5.00000       4.00000      0.834391       0.00000       0.00000       0.00000       0.00000    
