"",-33.000,-32.000,-31.000,-30.000,-29.000,-28.000,-27.000,-26.000,-25.000,-24.000,-23.000,-22.000,-21.000,-20.000,-19.000,-18.000,-17.000,-16.000,-15.000,-14.000,-13.000,-12.000,-11.000,-10.000,-9.000,-8.000,-7.000,-6.000,-5.000,-4.000,-3.000,-2.000,-1.000,0.000
177.0000,NaN,8.8000E+000,8.8000E+000,8.8000E+000,8.8000E+000,8.7700E+000,8.6650E+000,8.5650E+000,8.5900E+000,8.6800E+000,8.7450E+000,8.7950E+000,8.8450E+000,8.8950E+000,8.9450E+000,9.0250E+000,9.1800E+000,9.3600E+000,9.4900E+000,9.6100E+000,9.7800E+000,1.0020E+001,1.0360E+001,1.0770E+001,1.1205E+001,1.1895E+001,1.3185E+001,1.5055E+001,1.7475E+001,1.9875E+001,2.1400E+001,2.2295E+001,2.2865E+001,2.3187E+001
178.0000,NaN,8.6358E+000,8.6350E+000,8.6346E+000,8.6344E+000,8.6346E+000,8.6353E+000,8.6365E+000,8.6407E+000,8.6778E+000,8.7456E+000,8.7958E+000,8.8458E+000,8.8957E+000,8.9460E+000,9.0266E+000,9.1811E+000,9.3602E+000,9.4905E+000,9.6112E+000,9.7817E+000,1.0022E+001,1.0362E+001,1.0773E+001,1.1212E+001,1.1909E+001,1.3206E+001,1.5090E+001,1.7532E+001,1.9982E+001,2.1655E+001,2.2951E+001,2.3782E+001,2.3780E+001
179.0000,NaN,8.6357E+000,8.6356E+000,8.6355E+000,8.6355E+000,8.6357E+000,8.6368E+000,8.6399E+000,8.6507E+000,8.6855E+000,8.7430E+000,8.7975E+000,8.8479E+000,8.8969E+000,8.9474E+000,9.0291E+000,9.1834E+000,9.3608E+000,9.4897E+000,9.6126E+000,9.7837E+000,1.0025E+001,1.0365E+001,1.0774E+001,1.1218E+001,1.1923E+001,1.3226E+001,1.5121E+001,1.7580E+001,2.0073E+001,2.2096E+001,2.3526E+001,2.3878E+001,2.3879E+001
180.0000,NaN,8.6367E+000,8.6367E+000,8.6366E+000,8.6367E+000,8.6375E+000,8.6402E+000,8.6470E+000,8.6639E+000,8.6982E+000,8.7481E+000,8.8020E+000,8.8529E+000,8.9015E+000,8.9562E+000,9.0444E+000,9.1942E+000,9.3601E+000,9.4888E+000,9.6217E+000,9.7980E+000,1.0043E+001,1.0379E+001,1.0776E+001,1.1221E+001,1.1940E+001,1.3241E+001,1.5143E+001,1.7621E+001,2.0166E+001,2.2358E+001,2.3960E+001,2.4323E+001,2.4322E+001
181.0000,NaN,8.6379E+000,8.6378E+000,8.6378E+000,8.6379E+000,8.6394E+000,8.6435E+000,8.6524E+000,8.6717E+000,8.7058E+000,8.7529E+000,8.8056E+000,8.8566E+000,8.9056E+000,8.9632E+000,9.0547E+000,9.2013E+000,9.3605E+000,9.4896E+000,9.6287E+000,9.8093E+000,1.0058E+001,1.0390E+001,1.0781E+001,1.1234E+001,1.1970E+001,1.3272E+001,1.5180E+001,1.7666E+001,2.0256E+001,2.2605E+001,2.4264E+001,2.4504E+001,2.4494E+001
182.0000,NaN,8.6392E+000,8.6392E+000,8.6391E+000,8.6397E+000,8.6423E+000,8.6484E+000,8.6599E+000,8.6814E+000,8.7149E+000,8.7595E+000,8.8108E+000,8.8618E+000,8.9119E+000,8.9729E+000,9.0675E+000,9.2102E+000,9.3622E+000,9.4921E+000,9.6383E+000,9.8251E+000,1.0077E+001,1.0406E+001,1.0789E+001,1.1252E+001,1.2008E+001,1.3315E+001,1.5231E+001,1.7732E+001,2.0436E+001,2.2992E+001,2.4554E+001,2.4550E+001,2.4534E+001
183.0000,NaN,8.6410E+000,8.6409E+000,8.6410E+000,8.6422E+000,8.6467E+000,8.6552E+000,8.6691E+000,8.6920E+000,8.7250E+000,8.7676E+000,8.8175E+000,8.8686E+000,8.9204E+000,8.9846E+000,9.0813E+000,9.2201E+000,9.3657E+000,9.4967E+000,9.6500E+000,9.8438E+000,1.0099E+001,1.0424E+001,1.0803E+001,1.1277E+001,1.2055E+001,1.3368E+001,1.5297E+001,1.7828E+001,2.0793E+001,2.3414E+001,2.4550E+001,2.4536E+001,2.4455E+001
184.0000,NaN,8.6428E+000,8.6428E+000,8.6429E+000,8.6444E+000,8.6500E+000,8.6599E+000,8.6749E+000,8.6984E+000,8.7311E+000,8.7727E+000,8.8220E+000,8.8732E+000,8.9259E+000,8.9916E+000,9.0890E+000,9.2258E+000,9.3686E+000,9.5002E+000,9.6573E+000,9.8550E+000,1.0112E+001,1.0436E+001,1.0813E+001,1.1296E+001,1.2088E+001,1.3412E+001,1.5358E+001,1.7947E+001,2.1507E+001,2.4246E+001,2.4342E+001,2.4341E+001,2.4340E+001
185.0000,NaN,8.6449E+000,8.6449E+000,8.6453E+000,8.6478E+000,8.6549E+000,8.6664E+000,8.6827E+000,8.7069E+000,8.7393E+000,8.7800E+000,8.8286E+000,8.8801E+000,8.9341E+000,9.0017E+000,9.0997E+000,9.2338E+000,9.3734E+000,9.5061E+000,9.6680E+000,9.8710E+000,1.0131E+001,1.0453E+001,1.0828E+001,1.1320E+001,1.2127E+001,1.3459E+001,1.5422E+001,1.8102E+001,2.1701E+001,2.4270E+001,2.4272E+001,2.4271E+001,2.4270E+001
