"",-33.000,-32.000,-31.000,-30.000,-29.000,-28.000,-27.000,-26.000,-25.000,-24.000,-23.000,-22.000,-21.000,-20.000,-19.000,-18.000,-17.000,-16.000,-15.000,-14.000,-13.000,-12.000,-11.000,-10.000,-9.000,-8.000,-7.000,-6.000,-5.000,-4.000,-3.000,-2.000,-1.000,0.000
177.0000,NaN,-2.9000E+001,-2.9000E+001,-2.9000E+001,-2.9000E+001,-2.9000E+001,-2.8100E+001,-2.7100E+001,-2.6100E+001,-2.5100E+001,-2.4100E+001,-2.3100E+001,-2.2100E+001,-2.1100E+001,-2.0100E+001,-1.9100E+001,-1.8100E+001,-1.7100E+001,-1.6100E+001,-1.5100E+001,-1.4100E+001,-1.3100E+001,-1.2100E+001,-1.1100E+001,-1.0100E+001,-9.1000E+000,-8.1000E+000,-7.1000E+000,-6.1000E+000,-5.1000E+000,-4.1000E+000,-3.1000E+000,-2.0526E+000,0.0000E+000
178.0000,NaN,3.5611E-011,2.2767E-011,1.8077E-011,1.4568E-011,1.6050E-011,1.2965E-011,1.0021E-011,7.5622E-012,6.3765E-012,5.7898E-012,6.0588E-012,6.2373E-012,6.9193E-012,6.8572E-012,5.8345E-012,4.4342E-012,3.2691E-012,2.3322E-012,1.8439E-012,5.4023E-012,1.1795E-011,2.4721E-011,4.6903E-011,7.6516E-011,1.2373E-010,2.1707E-010,3.8751E-010,7.2738E-010,1.4749E-009,4.2263E-009,4.3131E-008,2.2798E-007,3.7197E-007
179.0000,NaN,1.8175E-011,1.3518E-011,1.1826E-011,8.9044E-012,8.6317E-012,1.0245E-011,1.1561E-011,1.1955E-011,1.1541E-011,1.0633E-011,9.6306E-012,8.6280E-012,7.4605E-012,6.0656E-012,4.5900E-012,3.2768E-012,2.4148E-012,1.9590E-012,7.7776E-012,2.1960E-011,4.6151E-011,8.5202E-011,1.4316E-010,2.2752E-010,3.6848E-010,6.3590E-010,1.1674E-009,2.4483E-009,6.3859E-009,2.0027E-008,6.5562E-008,1.5234E-007,2.5043E-007
180.0000,NaN,4.5996E-011,2.5591E-011,1.7095E-011,1.3442E-011,1.2148E-011,1.1911E-011,1.1674E-011,1.1176E-011,1.0400E-011,9.4709E-012,8.6040E-012,7.7715E-012,6.7274E-012,5.3991E-012,3.9670E-012,2.7123E-012,2.0036E-012,2.1731E-012,8.9266E-012,1.8871E-011,3.4861E-011,5.9875E-011,9.7150E-011,1.5292E-010,2.4762E-010,4.3201E-010,8.2027E-010,1.7868E-009,4.4803E-009,1.1569E-008,2.4854E-008,1.4263E-008,1.4027E-008
181.0000,NaN,2.3316E-011,1.6932E-011,1.3143E-011,1.2071E-011,1.2133E-011,1.2132E-011,1.1700E-011,1.1066E-011,1.0276E-011,9.3728E-012,8.5273E-012,7.7085E-012,6.6790E-012,5.3652E-012,3.9395E-012,2.6744E-012,1.9231E-012,1.8616E-012,8.3601E-012,1.8227E-011,3.4253E-011,5.9817E-011,9.8790E-011,1.5742E-010,2.5674E-010,4.5174E-010,8.5996E-010,1.8586E-009,4.4748E-009,1.0791E-008,2.3443E-008,1.3081E-007,1.4559E-007
182.0000,NaN,1.5300E-011,1.0725E-011,1.2605E-011,1.2549E-011,1.2279E-011,1.1963E-011,1.1478E-011,1.0864E-011,1.0068E-011,9.1355E-012,8.2551E-012,7.4096E-012,6.3657E-012,5.0515E-012,3.6449E-012,2.4427E-012,1.9283E-012,3.7080E-012,1.3740E-011,2.9408E-011,5.4671E-011,9.5113E-011,1.5710E-010,2.4986E-010,4.0776E-010,7.2015E-010,1.3755E-009,2.9171E-009,6.7628E-009,1.6264E-008,5.6180E-008,1.8400E-007,3.3262E-007
183.0000,NaN,2.7801E-011,1.5027E-011,1.4035E-011,1.2651E-011,1.1850E-011,1.1500E-011,1.1041E-011,1.0394E-011,9.5449E-012,8.5578E-012,7.6223E-012,6.7346E-012,5.6701E-012,4.3536E-012,2.9469E-012,1.6541E-012,1.0238E-012,6.6343E-012,1.6749E-011,3.3461E-011,6.0490E-011,1.0348E-010,1.6900E-010,2.6691E-010,4.3530E-010,7.6976E-010,1.4687E-009,3.0861E-009,7.0416E-009,1.6968E-008,3.6408E-008,1.3737E-008,1.8114E-008
184.0000,NaN,4.2485E-011,2.3333E-011,1.5470E-011,1.2396E-011,1.1521E-011,1.1331E-011,1.0911E-011,1.0252E-011,9.4012E-012,8.4267E-012,7.5094E-012,6.6406E-012,5.5921E-012,4.2864E-012,2.8850E-012,1.5783E-012,7.6492E-013,5.2385E-012,1.3154E-011,2.6198E-011,4.7841E-011,8.2850E-011,1.3662E-010,2.1640E-010,3.5400E-010,6.2750E-010,1.1950E-009,2.4944E-009,5.6525E-009,1.3483E-008,3.0517E-008,4.3673E-008,6.0643E-008
185.0000,NaN,3.6542E-011,2.2178E-011,1.4296E-011,1.1866E-011,1.1493E-011,1.1398E-011,1.0933E-011,1.0246E-011,9.3926E-012,8.4190E-012,7.4995E-012,6.6277E-012,5.5803E-012,4.2868E-012,2.9248E-012,1.6925E-012,2.0127E-012,1.4315E-011,3.4126E-011,6.6936E-011,1.2110E-010,2.0806E-010,3.4078E-010,5.4006E-010,8.8221E-010,1.5596E-009,2.9588E-009,6.1307E-009,1.3744E-008,3.2110E-008,6.1968E-008,5.9328E-008,8.4175E-008
