"year","rcp","gcm","model","variable","mean","month","yday","value","anom","mean_model","sd_model","var_model","mean_gcm","sd_gcm","var_gcm","mean_rcp","sd_rcp","var_rcp"
2006,"rcp85","GFDL-ESM2M","FLake","thermo.depth",8.24413386160678,7.5,212.5,8.92919455738546,0.68506069577868,0.119065370354153,0.343586505938633,0.118051687063118,0.35919044562757,0.811843658284538,0.659090125496822,0.68506069577868,NA,NA
2006,"rcp85","GFDL-ESM2M","GLM","thermo.depth",13.1667780940058,7.5,212.5,13.1044844265632,-0.0622936674425885,0.119065370354153,0.343586505938633,0.118051687063118,-0.0959959242288022,0.1961549466177,0.0384767630825927,-0.0622936674425885,NA,NA
2006,"rcp85","GFDL-ESM2M","GOTM","thermo.depth",4.71784921953327,7.5,212.5,4.66654798445082,-0.0513012350824537,0.119065370354153,0.343586505938633,0.118051687063118,0.113988634599846,0.158503228671479,0.0251232734992832,-0.0513012350824537,NA,NA
2006,"rcp85","GFDL-ESM2M","MyLake","thermo.depth",4.05166204098054,7.5,212.5,3.88058381271866,-0.171078228261878,0.119065370354153,0.343586505938633,0.118051687063118,-0.0677537198599732,0.221130479985319,0.0488986891785375,-0.171078228261878,NA,NA
2006,"rcp85","GFDL-ESM2M","Simstrat","thermo.depth",4.84909234293997,7.5,212.5,5.04403162971898,0.194939286779004,0.119065370354153,0.343586505938633,0.118051687063118,0.0904294059340059,0.081689542179222,0.0066731813014509,0.194939286779004,NA,NA
2006,"rcp85","HadGEM2-ES","FLake","thermo.depth",8.3544411699289,7.5,212.5,7.58373324533019,-0.77070792459872,-0.159304631916207,0.349664810461257,0.122265479674907,0.35919044562757,0.811843658284538,0.659090125496822,-0.77070792459872,NA,NA
2006,"rcp85","HadGEM2-ES","GLM","thermo.depth",13.1802194749068,7.5,212.5,13.0604142608614,-0.119805214045393,-0.159304631916207,0.349664810461257,0.122265479674907,-0.0959959242288022,0.1961549466177,0.0384767630825927,-0.119805214045393,NA,NA
2006,"rcp85","HadGEM2-ES","GOTM","thermo.depth",4.14250814110902,7.5,212.5,4.18377245813524,0.0412643170262189,-0.159304631916207,0.349664810461257,0.122265479674907,0.113988634599846,0.158503228671479,0.0251232734992832,0.0412643170262189,NA,NA
2006,"rcp85","HadGEM2-ES","MyLake","thermo.depth",4.07996462403779,7.5,212.5,4.05881423837161,-0.0211503856661787,-0.159304631916207,0.349664810461257,0.122265479674907,-0.0677537198599732,0.221130479985319,0.0488986891785375,-0.0211503856661787,NA,NA
2006,"rcp85","HadGEM2-ES","Simstrat","thermo.depth",4.37791044167025,7.5,212.5,4.45178648937328,0.0738760477030384,-0.159304631916207,0.349664810461257,0.122265479674907,0.0904294059340059,0.081689542179222,0.0066731813014509,0.0738760477030384,NA,NA
2006,"rcp85","IPSL-CM5A-LR","FLake","thermo.depth",8.20949020291316,7.5,212.5,9.33891883908926,1.1294286361761,0.161634621538816,0.601908402146728,0.362293724574827,0.35919044562757,0.811843658284538,0.659090125496822,1.1294286361761,NA,NA
2006,"rcp85","IPSL-CM5A-LR","GLM","thermo.depth",13.1369400091983,7.5,212.5,12.7975876295288,-0.339352379669479,0.161634621538816,0.601908402146728,0.362293724574827,-0.0959959242288022,0.1961549466177,0.0384767630825927,-0.339352379669479,NA,NA
2006,"rcp85","IPSL-CM5A-LR","GOTM","thermo.depth",4.30749212556722,7.5,212.5,4.62544336110373,0.317951235536513,0.161634621538816,0.601908402146728,0.362293724574827,0.113988634599846,0.158503228671479,0.0251232734992832,0.317951235536513,NA,NA
2006,"rcp85","IPSL-CM5A-LR","MyLake","thermo.depth",4.07747306343299,7.5,212.5,3.78094222735513,-0.296530836077859,0.161634621538816,0.601908402146728,0.362293724574827,-0.0677537198599732,0.221130479985319,0.0488986891785375,-0.296530836077859,NA,NA
2006,"rcp85","IPSL-CM5A-LR","Simstrat","thermo.depth",4.68587680387785,7.5,212.5,4.68255325560665,-0.00332354827119833,0.161634621538816,0.601908402146728,0.362293724574827,0.0904294059340059,0.081689542179222,0.0066731813014509,-0.00332354827119833,NA,NA
2006,"rcp85","MIROC5","FLake","thermo.depth",8.23236729992126,7.5,212.5,8.62534767507548,0.392980375154218,0.198491713681356,0.117179479114757,0.0137310303256057,0.35919044562757,0.811843658284538,0.659090125496822,0.392980375154218,NA,NA
2006,"rcp85","MIROC5","GLM","thermo.depth",13.1659096869247,7.5,212.5,13.3033772511669,0.137467564242252,0.198491713681356,0.117179479114757,0.0137310303256057,-0.0959959242288022,0.1961549466177,0.0384767630825927,0.137467564242252,NA,NA
2006,"rcp85","MIROC5","GOTM","thermo.depth",4.24544914253652,7.5,212.5,4.39348936345563,0.148040220919106,0.198491713681356,0.117179479114757,0.0137310303256057,0.113988634599846,0.158503228671479,0.0251232734992832,0.148040220919106,NA,NA
2006,"rcp85","MIROC5","MyLake","thermo.depth",4.06377698368166,7.5,212.5,4.28152155424768,0.217744570566023,0.198491713681356,0.117179479114757,0.0137310303256057,-0.0677537198599732,0.221130479985319,0.0488986891785375,0.217744570566023,NA,NA
2006,"rcp85","MIROC5","Simstrat","thermo.depth",4.23735203525867,7.5,212.5,4.33357787278385,0.0962258375251798,0.198491713681356,0.117179479114757,0.0137310303256057,0.0904294059340059,0.081689542179222,0.0066731813014509,0.0962258375251798,NA,NA
2007,"rcp85","GFDL-ESM2M","FLake","thermo.depth",8.24413386160678,7.5,212.5,7.15946501194235,-1.08466884966443,-0.287534162560964,0.489199675433819,0.239316322444554,-0.200933239931926,0.658449332270174,0.433555523167037,-1.08466884966443,NA,NA
2007,"rcp85","GFDL-ESM2M","GLM","thermo.depth",13.1667780940058,7.5,212.5,13.260397463804,0.0936193697981842,-0.287534162560964,0.489199675433819,0.239316322444554,-0.0242490047881822,0.173669252994581,0.0301610094356957,0.0936193697981842,NA,NA
2007,"rcp85","GFDL-ESM2M","GOTM","thermo.depth",4.71784921953327,7.5,212.5,4.40847057067893,-0.309378648854346,-0.287534162560964,0.489199675433819,0.239316322444554,-0.212390607918569,0.260632747248188,0.0679294289381378,-0.309378648854346,NA,NA
2007,"rcp85","GFDL-ESM2M","MyLake","thermo.depth",4.05166204098054,7.5,212.5,3.78274000297313,-0.268922038007406,-0.287534162560964,0.489199675433819,0.239316322444554,-0.25861810384959,0.0712366244021142,0.00507465665620789,-0.268922038007406,NA,NA
2007,"rcp85","GFDL-ESM2M","Simstrat","thermo.depth",4.84909234293997,7.5,212.5,4.98077169686315,0.131679353923178,-0.287534162560964,0.489199675433819,0.239316322444554,-0.0356358434740843,0.133476625647556,0.0178160095942579,0.131679353923178,NA,NA
2007,"rcp85","HadGEM2-ES","FLake","thermo.depth",8.3544411699289,7.5,212.5,8.86381799851195,0.509376828583045,0.0923732150467649,0.252263390367056,0.0636368181194819,-0.200933239931926,0.658449332270174,0.433555523167037,0.509376828583045,NA,NA
2007,"rcp85","HadGEM2-ES","GLM","thermo.depth",13.1802194749068,7.5,212.5,13.2818215738457,0.101602098938923,0.0923732150467649,0.252263390367056,0.0636368181194819,-0.0242490047881822,0.173669252994581,0.0301610094356957,0.101602098938923,NA,NA
2007,"rcp85","HadGEM2-ES","GOTM","thermo.depth",4.14250814110902,7.5,212.5,4.17370064785318,0.0311925067441596,0.0923732150467649,0.252263390367056,0.0636368181194819,-0.212390607918569,0.260632747248188,0.0679294289381378,0.0311925067441596,NA,NA
2007,"rcp85","HadGEM2-ES","MyLake","thermo.depth",4.07996462403779,7.5,212.5,3.91841305434356,-0.161551569694232,0.0923732150467649,0.252263390367056,0.0636368181194819,-0.25861810384959,0.0712366244021142,0.00507465665620789,-0.161551569694232,NA,NA
2007,"rcp85","HadGEM2-ES","Simstrat","thermo.depth",4.37791044167025,7.5,212.5,4.35915665233217,-0.018753789338071,0.0923732150467649,0.252263390367056,0.0636368181194819,-0.0356358434740843,0.133476625647556,0.0178160095942579,-0.018753789338071,NA,NA
2007,"rcp85","IPSL-CM5A-LR","FLake","thermo.depth",8.20949020291316,7.5,212.5,8.08822207494366,-0.121268127969496,-0.115185036618226,0.127625065464788,0.0162881573348914,-0.200933239931926,0.658449332270174,0.433555523167037,-0.121268127969496,NA,NA
2007,"rcp85","IPSL-CM5A-LR","GLM","thermo.depth",13.1369400091983,7.5,212.5,13.1154346003119,-0.0215054088863629,-0.115185036618226,0.127625065464788,0.0162881573348914,-0.0242490047881822,0.173669252994581,0.0301610094356957,-0.0215054088863629,NA,NA
2007,"rcp85","IPSL-CM5A-LR","GOTM","thermo.depth",4.30749212556722,7.5,212.5,4.27110682389025,-0.0363853016769646,-0.115185036618226,0.127625065464788,0.0162881573348914,-0.212390607918569,0.260632747248188,0.0679294289381378,-0.0363853016769646,NA,NA
2007,"rcp85","IPSL-CM5A-LR","MyLake","thermo.depth",4.07747306343299,7.5,212.5,3.74439301868555,-0.333080044747441,-0.115185036618226,0.127625065464788,0.0162881573348914,-0.25861810384959,0.0712366244021142,0.00507465665620789,-0.333080044747441,NA,NA
2007,"rcp85","IPSL-CM5A-LR","Simstrat","thermo.depth",4.68587680387785,7.5,212.5,4.62219050406698,-0.0636862998108643,-0.115185036618226,0.127625065464788,0.0162881573348914,-0.0356358434740843,0.133476625647556,0.0178160095942579,-0.0636862998108643,NA,NA
2007,"rcp85","MIROC5","FLake","thermo.depth",8.23236729992126,7.5,212.5,8.12519448924444,-0.107172810676821,-0.275115455837456,0.160250885018896,0.0256803461493393,-0.200933239931926,0.658449332270174,0.433555523167037,-0.107172810676821,NA,NA
2007,"rcp85","MIROC5","GLM","thermo.depth",13.1659096869247,7.5,212.5,12.8951976079212,-0.270712079003473,-0.275115455837456,0.160250885018896,0.0256803461493393,-0.0242490047881822,0.173669252994581,0.0301610094356957,-0.270712079003473,NA,NA
2007,"rcp85","MIROC5","GOTM","thermo.depth",4.24544914253652,7.5,212.5,3.71045815464939,-0.534990987887125,-0.275115455837456,0.160250885018896,0.0256803461493393,-0.212390607918569,0.260632747248188,0.0679294289381378,-0.534990987887125,NA,NA
2007,"rcp85","MIROC5","MyLake","thermo.depth",4.06377698368166,7.5,212.5,3.79285822073238,-0.270918762949281,-0.275115455837456,0.160250885018896,0.0256803461493393,-0.25861810384959,0.0712366244021142,0.00507465665620789,-0.270918762949281,NA,NA
2007,"rcp85","MIROC5","Simstrat","thermo.depth",4.23735203525867,7.5,212.5,4.04556939658809,-0.191782638670579,-0.275115455837456,0.160250885018896,0.0256803461493393,-0.0356358434740843,0.133476625647556,0.0178160095942579,-0.191782638670579,NA,NA
2008,"rcp85","GFDL-ESM2M","FLake","thermo.depth",8.24413386160678,7.5,213.5,7.81230101610773,-0.431832845499049,0.0318140643685032,0.304377240480889,0.092645504522761,0.0896849747677179,0.705418353619766,0.497615053623621,-0.431832845499049,NA,NA
2008,"rcp85","GFDL-ESM2M","GLM","thermo.depth",13.1667780940058,7.5,213.5,13.1593514149131,-0.00742667909273925,0.0318140643685032,0.304377240480889,0.092645504522761,-0.00155406178842252,0.265513223167515,0.0704972716768029,-0.00742667909273925,NA,NA
2008,"rcp85","GFDL-ESM2M","GOTM","thermo.depth",4.71784921953327,7.5,213.5,5.09384955524955,0.376000335716271,0.0318140643685032,0.304377240480889,0.092645504522761,0.366941542830966,0.42470364730325,0.180373188032683,0.376000335716271,NA,NA
2008,"rcp85","GFDL-ESM2M","MyLake","thermo.depth",4.05166204098054,7.5,213.5,4.05555035109574,0.0038883101152001,0.0318140643685032,0.304377240480889,0.092645504522761,0.215486678447713,0.427496226141028,0.182753023364821,0.0038883101152001,NA,NA
2008,"rcp85","GFDL-ESM2M","Simstrat","thermo.depth",4.84909234293997,7.5,213.5,5.06753354354281,0.218441200602833,0.0318140643685032,0.304377240480889,0.092645504522761,0.128609876994897,0.159260989551112,0.0253640627927995,0.218441200602833,NA,NA
2008,"rcp85","HadGEM2-ES","FLake","thermo.depth",8.3544411699289,7.5,213.5,8.85282106456878,0.498379894639881,0.0752302485364837,0.26148623276558,0.0683750499259352,0.0896849747677179,0.705418353619766,0.497615053623621,0.498379894639881,NA,NA
2008,"rcp85","HadGEM2-ES","GLM","thermo.depth",13.1802194749068,7.5,213.5,12.9730728689812,-0.207146605925508,0.0752302485364837,0.26148623276558,0.0683750499259352,-0.00155406178842252,0.265513223167515,0.0704972716768029,-0.207146605925508,NA,NA
2008,"rcp85","HadGEM2-ES","GOTM","thermo.depth",4.14250814110902,7.5,213.5,4.23789221041489,0.0953840693058678,0.0752302485364837,0.26148623276558,0.0683750499259352,0.366941542830966,0.42470364730325,0.180373188032683,0.0953840693058678,NA,NA
2008,"rcp85","HadGEM2-ES","MyLake","thermo.depth",4.07996462403779,7.5,213.5,4.10074142015404,0.0207767961162516,0.0752302485364837,0.26148623276558,0.0683750499259352,0.215486678447713,0.427496226141028,0.182753023364821,0.0207767961162516,NA,NA
2008,"rcp85","HadGEM2-ES","Simstrat","thermo.depth",4.37791044167025,7.5,213.5,4.34666753021617,-0.0312429114540738,0.0752302485364837,0.26148623276558,0.0683750499259352,0.128609876994897,0.159260989551112,0.0253640627927995,-0.0312429114540738,NA,NA
2008,"rcp85","IPSL-CM5A-LR","FLake","thermo.depth",8.20949020291316,7.5,213.5,7.63189184309007,-0.577598359823092,-0.0332606472641251,0.343056521171464,0.117687776718267,0.0896849747677179,0.705418353619766,0.497615053623621,-0.577598359823092,NA,NA
2008,"rcp85","IPSL-CM5A-LR","GLM","thermo.depth",13.1369400091983,7.5,213.5,13.5120708080065,0.375130798808207,-0.0332606472641251,0.343056521171464,0.117687776718267,-0.00155406178842252,0.265513223167515,0.0704972716768029,0.375130798808207,NA,NA
2008,"rcp85","IPSL-CM5A-LR","GOTM","thermo.depth",4.30749212556722,7.5,213.5,4.34047270021591,0.032980574648695,-0.0332606472641251,0.343056521171464,0.117687776718267,0.366941542830966,0.42470364730325,0.180373188032683,0.032980574648695,NA,NA
2008,"rcp85","IPSL-CM5A-LR","MyLake","thermo.depth",4.07747306343299,7.5,213.5,4.05848956198208,-0.0189835014509046,-0.0332606472641251,0.343056521171464,0.117687776718267,0.215486678447713,0.427496226141028,0.182753023364821,-0.0189835014509046,NA,NA
2008,"rcp85","IPSL-CM5A-LR","Simstrat","thermo.depth",4.68587680387785,7.5,213.5,4.70804405537432,0.0221672514964685,-0.0332606472641251,0.343056521171464,0.117687776718267,0.128609876994897,0.159260989551112,0.0253640627927995,0.0221672514964685,NA,NA
2008,"rcp85","MIROC5","FLake","thermo.depth",8.23236729992126,7.5,213.5,9.10215850967439,0.869791209753132,0.565551543361436,0.484641468882573,0.234877353360658,0.0896849747677179,0.705418353619766,0.497615053623621,0.869791209753132,NA,NA
2008,"rcp85","MIROC5","GLM","thermo.depth",13.1659096869247,7.5,213.5,12.999135925981,-0.16677376094365,0.565551543361436,0.484641468882573,0.234877353360658,-0.00155406178842252,0.265513223167515,0.0704972716768029,-0.16677376094365,NA,NA
2008,"rcp85","MIROC5","GOTM","thermo.depth",4.24544914253652,7.5,213.5,5.20885033418955,0.963401191653028,0.565551543361436,0.484641468882573,0.234877353360658,0.366941542830966,0.42470364730325,0.180373188032683,0.963401191653028,NA,NA
2008,"rcp85","MIROC5","MyLake","thermo.depth",4.06377698368166,7.5,213.5,4.92004209269197,0.856265109010306,0.565551543361436,0.484641468882573,0.234877353360658,0.215486678447713,0.427496226141028,0.182753023364821,0.856265109010306,NA,NA
2008,"rcp85","MIROC5","Simstrat","thermo.depth",4.23735203525867,7.5,213.5,4.54242600259303,0.305073967334362,0.565551543361436,0.484641468882573,0.234877353360658,0.128609876994897,0.159260989551112,0.0253640627927995,0.305073967334362,NA,NA
2009,"rcp85","GFDL-ESM2M","FLake","thermo.depth",8.24413386160678,7.5,212.5,8.18670092316945,-0.05743293843733,0.182839194405062,0.279519536558832,0.0781311713180641,-0.195287197425416,0.491852870084573,0.241919245810432,-0.05743293843733,NA,NA
2009,"rcp85","GFDL-ESM2M","GLM","thermo.depth",13.1667780940058,7.5,212.5,13.5856806747998,0.418902580793966,0.182839194405062,0.279519536558832,0.0781311713180641,0.0930719508533841,0.279456444447073,0.0780959043429999,0.418902580793966,NA,NA
2009,"rcp85","GFDL-ESM2M","GOTM","thermo.depth",4.71784921953327,7.5,212.5,5.0766773960983,0.35882817656503,0.182839194405062,0.279519536558832,0.0781311713180641,-0.0492973905114283,0.412033825082466,0.169771873012089,0.35882817656503,NA,NA
2009,"rcp85","GFDL-ESM2M","MyLake","thermo.depth",4.05166204098054,7.5,212.5,4.42550615046618,0.373844109485638,0.182839194405062,0.279519536558832,0.0781311713180641,-0.0594064768088157,0.476084268404358,0.226656230622113,0.373844109485638,NA,NA
2009,"rcp85","GFDL-ESM2M","Simstrat","thermo.depth",4.84909234293997,7.5,212.5,4.66914638655798,-0.179945956381995,0.182839194405062,0.279519536558832,0.0781311713180641,-0.0893981177248272,0.0918223680476424,0.0084313472738767,-0.179945956381995,NA,NA
2009,"rcp85","HadGEM2-ES","FLake","thermo.depth",8.3544411699289,7.5,212.5,7.85023690570979,-0.504204264219116,-0.275335585960716,0.274418481242846,0.0753055028476301,-0.195287197425416,0.491852870084573,0.241919245810432,-0.504204264219116,NA,NA
2009,"rcp85","HadGEM2-ES","GLM","thermo.depth",13.1802194749068,7.5,212.5,13.3122670776878,0.132047602781095,-0.275335585960716,0.274418481242846,0.0753055028476301,0.0930719508533841,0.279456444447073,0.0780959043429999,0.132047602781095,NA,NA
2009,"rcp85","HadGEM2-ES","GOTM","thermo.depth",4.14250814110902,7.5,212.5,3.63078997688296,-0.511718164226056,-0.275335585960716,0.274418481242846,0.0753055028476301,-0.0492973905114283,0.412033825082466,0.169771873012089,-0.511718164226056,NA,NA
2009,"rcp85","HadGEM2-ES","MyLake","thermo.depth",4.07996462403779,7.5,212.5,3.72102641773585,-0.35893820630194,-0.275335585960716,0.274418481242846,0.0753055028476301,-0.0594064768088157,0.476084268404358,0.226656230622113,-0.35893820630194,NA,NA
2009,"rcp85","HadGEM2-ES","Simstrat","thermo.depth",4.37791044167025,7.5,212.5,4.24404554383268,-0.133864897837561,-0.275335585960716,0.274418481242846,0.0753055028476301,-0.0893981177248272,0.0918223680476424,0.0084313472738767,-0.133864897837561,NA,NA
2009,"rcp85","IPSL-CM5A-LR","FLake","thermo.depth",8.20949020291316,7.5,212.5,7.55352339501673,-0.655966807896424,-0.298630445371428,0.315233550985011,0.0993721916666198,-0.195287197425416,0.491852870084573,0.241919245810432,-0.655966807896424,NA,NA
2009,"rcp85","IPSL-CM5A-LR","GLM","thermo.depth",13.1369400091983,7.5,212.5,13.2209022127208,0.0839622035224695,-0.298630445371428,0.315233550985011,0.0993721916666198,0.0930719508533841,0.279456444447073,0.0780959043429999,0.0839622035224695,NA,NA
2009,"rcp85","IPSL-CM5A-LR","GOTM","thermo.depth",4.30749212556722,7.5,212.5,4.03291196793581,-0.27458015763141,-0.298630445371428,0.315233550985011,0.0993721916666198,-0.0492973905114283,0.412033825082466,0.169771873012089,-0.27458015763141,NA,NA
2009,"rcp85","IPSL-CM5A-LR","MyLake","thermo.depth",4.07747306343299,7.5,212.5,3.50758400844626,-0.569889054986733,-0.298630445371428,0.315233550985011,0.0993721916666198,-0.0594064768088157,0.476084268404358,0.226656230622113,-0.569889054986733,NA,NA
2009,"rcp85","IPSL-CM5A-LR","Simstrat","thermo.depth",4.68587680387785,7.5,212.5,4.60919839401281,-0.0766784098650411,-0.298630445371428,0.315233550985011,0.0993721916666198,-0.0893981177248272,0.0918223680476424,0.0084313472738767,-0.0766784098650411,NA,NA
2009,"rcp85","MIROC5","FLake","thermo.depth",8.23236729992126,7.5,212.5,8.66882252077247,0.436455220851208,0.1508730516334,0.274079555019875,0.0751196024798928,-0.195287197425416,0.491852870084573,0.241919245810432,0.436455220851208,NA,NA
2009,"rcp85","MIROC5","GLM","thermo.depth",13.1659096869247,7.5,212.5,12.9032851032407,-0.262624583683994,0.1508730516334,0.274079555019875,0.0751196024798928,0.0930719508533841,0.279456444447073,0.0780959043429999,-0.262624583683994,NA,NA
