"year","rcp","gcm","model","variable","mean","value","anom","mean_model","sd_model","var_model","mean_gcm","sd_gcm","var_gcm","mean_rcp","sd_rcp","var_rcp"
1949,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,"historical","GFDL-ESM2M","FLake","wtr_32",6.71210561154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,"historical","HadGEM2-ES","FLake","wtr_32",6.96622929179362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,"historical","IPSL-CM5A-LR","FLake","wtr_32",6.80292643862958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,"historical","MIROC5","FLake","wtr_32",6.96801566664715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
