par_id,rmse,nse,r,bias,mae,nmae
p0001,3.69776889296921,0.808909253572303,0.951236749128142,-2.48966450381022,3.22704925842763,1.46976159546303
p0002,1.71894432012462,0.955629231187254,0.979816409623047,0.400000366451727,1.14163799539908,0.462304632237421
p0003,2.71400483436421,0.899269465989608,0.95825158635835,1.13356092389112,2.23713156476364,4.01576229252141
p0004,4.05831695777765,0.774767100332836,0.943830315558221,-2.74568014905359,3.55906777428968,1.62664081266788
p0005,3.91151505084577,0.777083214985315,0.930641105537233,2.18843970634146,3.3650332302439,6.74886575151594
p0006,1.64646912085173,0.960200030088452,0.985254060475225,0.572855727029121,1.21985149980334,0.444062497851245
p0007,4.16906444673061,0.746761357492601,0.879408032376052,-1.27729975498537,3.24265981352195,6.7944027798276
p0008,4.13109323010858,0.759541276294533,0.952929819971589,2.88212047936019,3.17771942872741,1.48365038509842
p0009,1.60566630613794,0.539796140817136,0.899702002838792,-1.175,1.4234,0.0670838766588245
p0010,2.81587210093057,0.888278593356678,0.961383841292459,1.28329256525884,2.02127877699597,1.1116895817568
p0011,2.29708698790446,0.0581222199524005,0.823036413029848,-1.86236666666667,1.8725,0.0876690592675961
p0012,4.71547119768129,0.679551122183833,0.960455114305614,3.86373224436968,3.88710092859286,1.35238599325316
p0013,2.13853617600185,0.93285575941039,0.979737908637109,0.973695490185391,1.60064399150541,0.404224474571016
p0014,4.76481731177193,0.659069509601543,0.967632478983609,3.98456017865604,4.03935497393977,0.701453625064881
p0015,2.63748349691096,0.904869582174801,0.959225420025243,-0.813237950188117,2.22069964158959,3.99085587160076
p0016,8.98942080825381,-13.4245771164379,0.790922382419022,-7.57198,7.57198,0.389052475672034
p0017,3.6705481430512,0.805835239514109,0.97272808334052,-2.93690005705544,3.33682412938062,0.864360290826465
p0018,2.96886007498113,0.873168490456192,0.96822841381904,1.51237317295465,2.1986400209351,0.475330858897215
p0019,2.77212854729811,0.890516956844509,0.955738012321026,0.70628852990884,1.99271678575507,0.682175960429039
p0020,1.82991888767108,0.951741675254666,0.981141497704118,-0.868636585196434,1.51506127951078,0.586974118215728
p0021,1.88603561238764,0.948814437484253,0.97599073014281,-0.506918510956341,1.57094314400519,1.0311445016816
p0022,1.71630584131217,0.957548022712972,0.978622748205394,-0.0567145552501856,1.37677938602105,0.869058263302993
p0023,5.30641573717069,0.59882655363292,0.925867434069518,-3.92110802877232,4.90125622167993,2.73698494771299
p0024,2.78930746243819,0.889153390870355,0.949100140009038,0.898565521000323,2.15681953302313,2.69212793402164
p0025,4.38848172298597,0.722874627058551,0.954987377454957,3.29950887216191,3.45415264329394,1.26870499685165
p0026,2.73639718495091,0.894496026787032,0.974640232070019,-1.88190828677933,2.40975586642217,1.09349198631225
p0027,3.01048302645993,0.869587245317077,0.96212315011022,1.70763892654989,2.2949176734295,1.15234533964655
p0028,2.72952461493803,0.892630089195036,0.974264888735112,1.49263012466264,2.03568512146113,0.543046951630933
p0029,3.5905389444937,0.814490145021919,0.959505963389015,2.29158701786238,2.74507011387028,1.02225969277868
p0030,4.14999952457293,0.754627589846672,0.953457217583714,-3.22172186689538,3.52926607216088,0.969059496136004
p0031,5.63346350894959,-4.66487901547005,0.476541937400609,-5.125,5.125,0.244627581137883
p0032,3.76231696291369,0.787438749426342,0.968528524409304,2.90479563463565,3.06449090785376,0.666524439893187
p0033,2.69180518810437,0.893451641017534,0.977714306835589,1.6843289692703,2.04851727526358,0.440501440708052
p0034,4.56020947399693,0.694205902289641,0.965027864738061,3.78316795922242,3.81442305990122,1.03107417407742
p0035,3.00886265601762,0.872439775883185,0.959707872244353,1.27192373473548,2.19335874109988,0.870215257770673
p0036,3.3093608452442,0.843966488140899,0.948284290196664,-1.87906994195744,2.86327592508156,1.79112452393172
p0037,3.16402246295878,0.855726131061184,0.983897760423461,-2.76372456827212,2.85922526508794,0.662392479813831
p0038,4.21770659186537,0.7388269910744,0.967527282199525,3.39883261387003,3.46270605072749,0.81169957882776
p0039,2.6387226676414,0.897612483420024,0.987315813273825,-2.26030457328243,2.34925776359736,0.465817367938996
p0040,4.38346522209316,0.731468487501313,0.951566276745634,-3.35570279436614,3.93036012442671,1.17515270697906
p0041,5.20377255985268,0.593360138658668,0.939299334044393,-4.31086143215214,4.41718966237468,0.51996098771223
p0042,6.7826756195472,-7.21186428084093,0.700532879384292,-6.52933333333333,6.52933333333333,0.317188789611901
p0043,3.09086823260246,0.856538846930142,0.976184310367953,2.27840096354882,2.47017280043779,0.552227275618582
p0044,3.61627558296862,0.817239151548223,0.945729957349359,2.10803962278123,2.94744552855568,2.37480111294743
p0045,2.62965300059476,0.902566695086524,0.977224696000093,-1.85278662519095,2.30765975795449,0.908289208117943
p0046,2.01038355811391,0.943053322230979,0.9776966104037,-0.860805147321022,1.58413089603565,0.531128629587923
p0047,2.63455007518923,0.900124120202999,0.972327953909239,1.2085189910879,1.93725031486435,0.380417385763461
p0048,1.45724434034478,0.96877343106233,0.985884178670231,0.37352585529803,1.06498800624789,0.458137241676727
p0049,4.28119243669331,-2.27166755493851,0.577062531345874,-3.2118,3.2118,0.155160219495842
p0050,3.72800044811899,0.791298655451319,0.96891201586795,-3.06319856035683,3.22084761345775,0.490908857770542
p0051,2.36918702085162,0.915710781976693,0.975591152625675,-1.54969893700851,1.73513986382322,0.367302505651858
p0052,1.44632526386386,0.969288041772476,0.986076244496189,-0.456342463559626,1.1418256830867,0.40997219061009
p0053,1.95544713634593,0.944893767341771,0.984596022157289,-1.25311273544189,1.68002565465717,0.661604823553175
p0054,3.89226763399564,0.788278229397984,0.960479765635439,-2.97714839224521,3.42119014554706,0.877835512439823
p0055,1.97982500517722,0.942361439789707,0.986822460766319,-1.43330519446641,1.6956572496897,0.46151080402273
p0056,4.02775297649041,0.766205539631812,0.965039124562258,2.87436512123577,3.12239232038346,0.646126424507162
p0057,1.42984351991069,0.969984015899776,0.986379503490193,-0.322367988511986,1.11946409725367,0.520479188624714
p0058,1.51893887632755,0.966126805238938,0.985538507443451,-0.178865650940088,1.19166571263827,0.402682218317992
p0059,2.32928016790419,0.921809854720949,0.985297212974587,-1.81903001335544,2.00458977994177,0.456204027352332
p0060,3.87100895776459,0.784376517854853,0.970209314224376,-3.23133241633011,3.48441160147078,0.573147859191518
p0061,4.17280757766768,0.746306420448307,0.938649474271904,-2.49343369804878,3.7740272395122,7.55681922797012
p0062,2.38240625713396,0.916537544888957,0.987217372140865,-1.94448289085627,2.09629607153566,0.394601091959087
p0063,3.88470761946261,0.778090350014184,0.968064602367046,2.95707913923478,3.10601516202314,0.70566916958259
p0064,2.15143556248884,0.93478203679379,0.972817716840817,0.0301170655044188,1.58271435752657,0.52829020378989
p0065,1.88063754391564,0.948073892585236,0.984890776610776,-1.20913689947597,1.56571528701504,0.435051909813652
p0066,2.60461238886454,0.898126895969048,0.970940841263061,-1.72113450424894,1.88513025322717,0.4190112066186
p0067,3.92615124865002,0.775411863473483,0.929070654713673,-2.15262382536585,3.39268093756098,7.5395652343271
p0068,2.09251742950717,0.935714395525213,0.979218530874437,1.05864234480735,1.55455473303083,0.589514519844111
p0069,2.40861443294355,0.917345937617661,0.96283841586749,-0.665248758726279,2.05925671630595,2.57702354647221
p0070,2.49768684482453,0.911121625564562,0.962834191103142,0.42173025533114,1.80959447789554,0.651996305912211
p0071,2.24597393601157,0.927413287594957,0.981596937169899,-1.55801876935067,1.90581452443624,0.815540134558128
p0072,4.67571605303961,0.694468222704539,0.938867533103749,-3.41176881208788,4.25648753386254,1.84455261589856
p0073,4.84535757958185,0.671895797470358,0.953703928247227,-3.95857845277811,4.36273314065645,0.85717010400867
p0074,2.45346083170681,0.913382436962416,0.97194267593308,0.797412052239898,1.79719070438199,0.429525399355004
p0075,2.75456521357543,0.893960848304613,0.95419197467612,0.675553593305193,2.0456364345081,0.978772034285725
p0076,2.04286673455918,0.941198200301989,0.971158055300986,-0.246771285005336,1.63254846859653,1.05793584363563
p0077,1.29866147642109,0.975200014371373,0.988304855690044,0.0583043201520464,0.957430606013234,0.330495247236157
p0078,3.3512703679493,0.831347700015049,0.970709481996104,-2.71043079615539,2.80396282049244,0.456393100464278
p0079,1.8192155357416,0.950301686933138,0.979874602682626,-0.766654973457324,1.18022383242675,0.339800046062792
