datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Air_Temperature_celsius	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Vapour_Pressure_milliBar	Longwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerHour
0	0.63615763	-3.3992596	-7.3281311	79.581055	2.1454444	229.71591	0
1	3.0042675	-3.0481808	-9.7643494	80.140213	1.5540081	204.71165	0
2	1.4010886	-2.1215818	-10.083197	87.285728	1.5156844	196.22998	0
3	0.2765021	-2.7456522	-8.8872131	91.734993	1.5770297	218.49155	0
4	0.27685976	-3.562974	-9.3914246	95.269951	1.7057853	193.7939	0
5	0.25643918	-2.3280389	-7.817511	96.130096	2.1680108	201.49271	0
6	-2.3929098	0.34523445	-5.3045715	41.925442	3.2251858	233.26118	9.6228041e-10
7	0.93395513	1.2666752	1.0118347	30.997643	6.0854898	284.94495	2.9626196e-09
8	4.4097171	-2.5819385	-8.4281372	79.027496	2.2429093	226.41086	0
9	3.966711	-2.8630204	-12.740973	93.227074	1.2442925	211.25945	0
10	2.9242277	0.10850241	-11.440771	77.957924	1.507059	206.62842	0
11	3.0658031	2.5458667	-4.1976074	67.696999	3.3246624	239.5621	0
12	2.6088393	-1.2281924	-4.5531677	97.763351	3.1717895	212.88806	0
13	0.81364208	1.0095519	-4.4933533	103.98775	2.7418877	219.6205	0
14	1.0255213	-2.2738516	-4.5260681	97.293236	3.1754193	212.09677	0
15	-1.3456886	-1.618174	-5.9622253	107.16001	2.4676475	211.12303	0
16	-5.0566506	1.3070443	-1.7156433	27.619616	4.381558	267.37607	3.1125968e-09
17	-0.33472624	3.841665	3.8026367	57.569984	6.5193277	276.65683	6.1164695e-09
18	-0.76501137	3.0096684	0.48977051	37.378777	5.0752979	267.1423	1.7063489e-09
19	-0.052830242	3.7201555	4.951593	51.473465	7.4701959	283.52951	8.4908e-09
20	3.3849683	5.1310997	-4.3253845	57.700703	3.5352382	244.60512	4.3982031e-10
21	7.0863752	0.24961598	-9.0883545	69.565872	2.130542	238.19411	2.5061462e-10
22	5.9032187	-1.5402458	-10.084784	90.237381	1.6906817	226.84045	0
23	4.246315	-2.5318162	-10.463721	105.519	1.5785129	213.59138	0
24	6.1773229	-3.3574116	-13.372107	76.595688	1.3226584	218.09175	0
25	6.1561246	-3.1753023	-14.160681	115.14651	1.3277105	191.19344	0
26	3.8615077	-1.6389799	-12.073157	125.27118	1.4957068	188.05513	0
27	3.2028155	-1.6450118	-9.5037598	84.090363	1.8126259	222.01103	0
28	5.0094943	-3.1432533	-11.241431	94.548508	1.5786815	220.59612	9.364166e-11
29	3.5246387	-2.4457424	-12.361212	131.47339	1.2779218	190.22156	0
30	2.1695735	1.7143641	-7.652533	126.36603	2.1038197	197.18655	0
31	-0.49199605	0.69417357	-1.8751892	23.241945	4.2102344	267.74124	5.9536263e-09
32	3.4642062	-2.19695	-5.3226685	135.01768	3.0389688	217.54779	0
33	-1.9041179	-0.68493587	-4.2135986	43.417294	3.7178971	261.38461	1.2627004e-09
34	6.9128084	-0.50220466	-7.0237488	120.46123	2.7102656	230.41582	1.7265957e-10
35	0.85672098	-1.8860093	-13.275549	135.89099	1.5832649	215.42558	0
36	-4.0638833	2.2824306	-5.1745056	36.917454	3.7506293	264.85233	5.0717993e-09
37	2.844218	2.5085046	1.5946899	68.548271	5.7238464	287.58829	4.2781573e-09
38	-0.43216068	-3.5328693	-5.0489563	118.65659	3.5479462	259.07748	2.3782744e-09
39	-0.3873612	-5.3388214	-8.3172668	79.930748	3.0107071	256.09424	1.1735175e-08
40	0.60311091	-2.6518006	-14.26441	135.33664	1.5663801	221.96704	0
41	-3.5960908	1.5303146	-3.7862915	51.936764	4.2948754	267.62576	3.1692934e-09
42	0.7336089	0.16916744	1.2317749	107.23465	6.0895384	281.78247	1.5914126e-09
43	-0.11620371	2.1115668	1.411615	33.683784	6.7669636	288.31888	2.79224e-09
44	-0.68603849	3.1631279	4.9196411	18.191444	8.6771393	303.1488	1.3812038e-08
45	3.5336094	2.7029002	6.7598511	46.686729	8.5050479	304.28119	0
46	4.1970172	-0.093421385	0.55025635	132.68716	5.2299993	265.27408	2.4670226e-11
47	2.6783154	1.8991596	1.7274719	95.074921	5.6808238	275.75684	4.8894333e-10
48	3.8671386	1.2555314	4.5257507	149.34695	6.8339001	272.83997	5.1122257e-11
49	5.6069584	-1.9228592	-4.0261292	167.56546	3.1942811	227.79843	0
50	1.6749465	-2.7681122	-6.7082275	172.70853	2.0411348	208.22739	0
51	-4.0971723	1.0797784	-2.9787964	27.824722	3.7627462	267.51486	9.6351711e-09
52	6.6727691	0.43992329	-0.98728027	134.19397	4.4907987	268.56714	4.8380396e-10
53	5.6042843	-3.930264	-11.300574	116.31739	2.0514849	243.6678	1.5895741e-11
54	1.3810346	-2.7026145	-14.145148	137.30264	1.6265605	217.13412	0
55	-3.0303228	-3.4027307	-11.593756	55.032051	2.5163918	248.05841	3.3850599e-09
56	-1.2310501	-7.1131535	-15.253546	135.98592	1.7370665	235.23224	4.5064132e-10
57	1.9870546	-4.3198195	-13.660437	171.26288	1.6666558	220.16263	0
58	0.040534485	-0.92522508	-9.4234985	148.4537	2.3925241	224.14078	0
59	-1.8807729	-0.35610676	-0.77960815	37.034416	5.3039575	284.92117	3.4735646e-09
60	2.6354885	-2.2941282	-2.0063232	184.17178	4.1226893	246.24173	0
61	0.9174192	-2.2285848	-2.8896545	160.43542	3.605233	242.42862	0
62	1.8581996	-5.3235064	-7.2866577	192.3727	2.0757541	232.70796	0
63	3.3823619	-2.466527	-12.113318	160.83272	1.2107565	216.32069	0
64	3.9504182	-0.97660333	-10.405951	154.71497	1.437701	223.62379	0
65	0.92121375	-2.8442528	-9.0275635	193.54756	1.6595035	227.26019	0
66	-0.63152695	-6.8713007	-9.1969971	198.12317	1.7493932	218.38589	0
67	1.1790365	-5.1285262	-7.4811157	210.50789	2.0152107	217.0592	0
68	1.3950435	-2.0909729	-4.7555908	216.92604	2.3719013	212.92148	0
69	0.47062624	-0.68320495	-2.1389832	215.74028	2.9614074	218.9449	0
70	0.011610187	0.65738744	-0.099401855	111.33527	4.1260251	257.47031	0
