par_id,rmse,nse,r,re,mae,nmae
p001,6.90280693668368,-0.864737745319799,0.286107555428237,0.478505785247242,5.50229395644306,0.547400533416452
p002,7.28449070444483,-1.07665663934417,0.27685907661737,0.560626157853727,5.8702319693892,0.604370390342072
p003,8.92086977237429,-2.11444529637323,0.26563246239351,0.737695491307157,7.17759940689557,0.74684712744801
p004,7.12560934320996,-0.987057001115242,0.285146183944265,0.532955909770313,5.73037123190214,0.584069351085508
p005,6.42669418734692,-0.616372962368222,0.297019569461892,0.439954227231551,5.27288711593576,0.520380145387439
p006,6.3021429989976,-0.554328515801123,0.285870229749149,0.392235526208766,5.12616984909528,0.492780293214796
p007,7.04569023456494,-0.942734259260251,0.292095392952372,0.535955471048095,5.704441629044,0.584504684585286
p008,9.35055258525929,-2.42169158620404,0.264672523894239,0.779770321560308,7.61850971783677,0.786702592538355
p009,6.4683955165016,-0.637417557414904,0.288354511135162,0.436384110645308,5.29047353626931,0.519999697592855
p010,8.43568273240863,-1.7848819028387,0.27078786866412,0.685460466686928,6.70991452850708,0.700373989695562
p011,6.89806252549686,-0.862175297223309,0.278980131671222,0.512780840682899,5.63831495193586,0.572080717364619
p012,9.07109615071236,-2.22022226707066,0.277249533656644,0.750148182978316,7.33738966641361,0.758583728945279
p013,7.43378565057856,-1.16265068231189,0.280107215759866,0.581124878970216,5.95763154291127,0.617549759440021
p014,7.91631984051047,-1.45252234602237,0.273844717782268,0.63584750343557,6.27755031161112,0.657739751060424
p015,6.89300522120326,-0.859445796049239,0.298696261022184,0.498035385402906,5.5338036354274,0.557556711828935
p016,7.47513385622265,-1.18677578361072,0.291153359852814,0.576693135484518,5.92533530731724,0.612112683305625
p017,7.00964854514222,-0.922909278890025,0.289131102276011,0.500952646151368,5.58884770347647,0.561518120605209
p018,6.13884683789401,-0.47482300750846,0.299765824811074,0.366778292330712,4.98735711901155,0.474358166645854
p019,7.14870129404119,-0.999956774345758,0.283683076864248,0.534949589722377,5.7455145251261,0.585746026170014
p020,6.62332821553139,-0.716796667674382,0.283607891141716,0.433957780239542,5.31419744556897,0.519281825163575
p021,6.48332525320679,-0.644984944152689,0.282212948458183,0.409664287833611,5.22024448211879,0.504615408779656
p022,6.86704537959384,-0.8454664010201,0.284317264608161,0.499018571513907,5.57707192669176,0.561880953783913
p023,6.48620720264532,-0.646447717321207,0.297513289190996,0.456179369494263,5.3356119671913,0.530909344817178
p024,7.83474489911891,-1.40223797814599,0.282245918145886,0.621706016030652,6.19079463808504,0.645974277854
p025,7.67213492585478,-1.30355598613576,0.284639516287332,0.603194256502079,6.07636221304332,0.632021497720527
p026,7.53759214155936,-1.22347154672946,0.281792936910067,0.573934463231911,5.96889373145691,0.613054250643889
p027,7.37005568145242,-1.12572874863992,0.285774938361995,0.568734962982969,5.89182371113398,0.607920102769457
p028,6.99653698905463,-0.915722398449521,0.284978247260752,0.49162633448963,5.56670904355506,0.556307475381922
p029,6.74359680521464,-0.779711064644852,0.298413251293298,0.49490683824464,5.50276482954417,0.55603305972883
p030,6.5373195040436,-0.672498474394511,0.283818754472402,0.426117500081838,5.27527667790243,0.514287806854159
p031,7.14275949665463,-0.996633541523445,0.289726293460429,0.54428867585593,5.75661604861691,0.590557372808647
p032,7.34259802662468,-1.10991915299581,0.284777902329859,0.554985045552547,5.84639363092919,0.598934016289857
p033,8.00977318182383,-1.51076892056377,0.273216915385277,0.640593899856104,6.33705848537079,0.662226702459795
p034,7.54782306537774,-1.22951156742837,0.275908418673806,0.592323215019939,6.03315599617893,0.626339210969505
p035,6.33935475920281,-0.57273814553055,0.284582372115675,0.403505474873566,5.17031915677737,0.499894357330364
p036,6.40312655723128,-0.604539745878292,0.283981756735985,0.417024743631248,5.22790545208813,0.508641517335178
p037,7.08468126616956,-0.964296039418903,0.281178637741557,0.516711877322464,5.67950416199148,0.574030828497364
p038,7.98680524855405,-1.49639036283545,0.27286143564474,0.641263450291297,6.32189736170312,0.662124919149709
p039,6.98904893326623,-0.911623982385334,0.289601406393159,0.525580312500043,5.66863167057299,0.578170849107567
p040,6.19598215007978,-0.502403628827141,0.295938537071458,0.407041032765273,5.13084108502898,0.499487077826603
p041,6.98395614047301,-0.908839066185391,0.281933639702472,0.493362291255932,5.57985095879803,0.558254857470255
p042,6.45318403763615,-0.629725308093896,0.300132089507646,0.450745449037289,5.30541418382566,0.526779218591723
p043,6.84250442257804,-0.83229957805353,0.303216497466592,0.50905474968262,5.55321799924929,0.56427521679039
p044,7.86995795785542,-1.42388009725298,0.276482986561503,0.628489627444613,6.23503876712224,0.651948368466359
p045,6.99318769651625,-0.913888697297998,0.296923835907003,0.506709715586066,5.58439148713465,0.563584095533595
p046,7.36624993483723,-1.12353394941782,0.286320326048064,0.57579246605506,5.90843727392693,0.612494179234008
p047,6.80083524348998,-0.810051016162627,0.30401893526443,0.500498630028829,5.51662609054618,0.558433515661798
p048,6.57842353213133,-0.693596586279158,0.28470379643231,0.454365141713923,5.37926346504525,0.532559544572775
p049,6.18005412932461,-0.494689094874797,0.288942583554582,0.387069680702387,5.08595202491708,0.488871033115637
p050,6.71189567545761,-0.763017824323332,0.306330232223597,0.490260786265446,5.46221523121612,0.551239402704615
