par_id,rmse,nse,r,re,mae,nmae
p001,7.91107290664564,-1.32520607758212,0.460056727448362,0.686118094053395,6.76833048211197,0.702015627225555
p002,6.49592756904861,-0.567736332268448,0.824073126193823,0.57295693804079,5.86121909442102,0.575299645099405
p003,5.26307184252234,-0.0291277105344159,0.789337038783008,0.428633444422769,4.58674297854826,0.432631119664646
p004,5.46421303541748,-0.109292104032978,0.82898459380143,0.481020759648941,4.82271081349281,0.485960023561069
p005,8.31864998047951,-1.57096626368865,0.615934434750517,0.742102324476949,7.32494695003001,0.745958082798018
p006,3.65381775736923,0.503996843970237,0.800185945557153,0.256162396000271,2.92396774711358,0.293014294732512
p007,2.42239883752159,0.781987209158533,0.901522839716583,0.0647582850920572,2.07478074425597,0.174770827334453
p008,5.80783321074381,-0.253195847817325,0.814744804699934,0.469775206197766,5.0453917412848,0.471683260980469
p009,5.29164693812616,-0.0403330504182613,0.754499299765862,0.44806283544634,4.5890029323735,0.46022723211488
p010,6.08452826766916,-0.375449031525615,0.823487079603419,0.52122987047669,5.42277034861943,0.523355117859441
p011,4.02911905520715,0.396870075770786,0.802885524325191,0.273156504540934,3.45830505230462,0.339401255474992
p012,8.71097472801222,-1.8191889417437,0.588436948211072,0.784006871058927,7.73169588720934,0.785704306343992
p013,2.75957591946398,0.717072365343922,0.862289460269076,0.172916092035488,2.32766199977348,0.22307261830227
p014,2.53917210778629,0.760461705386391,0.894435297516487,0.119774029594647,2.06165152032919,0.184433851535492
p015,8.10744331728636,-1.44207230087428,0.585875567686166,0.725460670071194,7.06137716840396,0.728577897684681
p016,9.60577209460527,-2.42811381654816,0.541223282072045,0.86775757419499,8.60761656998221,0.869679084232954
p017,2.48803331454579,0.770013121875975,0.865790464288693,0.0298039681180838,1.9776254330423,0.167587266618617
p018,3.36599100231561,0.579063508307161,0.849709735591632,0.0126254092065854,2.53973022387249,0.178977052562562
p019,2.47177258765429,0.773009490993967,0.901459302395054,0.0701271823310628,1.9120775972447,0.157161767236383
p020,5.77006183132873,-0.236948475620189,0.713393628438173,0.427766728890783,4.83396800890484,0.470431081992306
p021,3.69753774979367,0.492055913235364,0.781815244638184,0.263932550520774,3.0297623919537,0.310450796363971
p022,5.71353441839271,-0.212831230346362,0.712922181848532,0.407275705343682,4.85458839801006,0.470608129991372
p023,4.67639438160999,0.187519519971644,0.814532014063213,0.380802666908951,4.15047362500496,0.395720627212187
p024,6.01501471783356,-0.344200536237257,0.708517718434588,0.448044619334711,5.12695574865066,0.494150047540475
p025,3.7988215109148,0.463847355117007,0.84674419245143,0.285766086626174,3.29532889338405,0.314676766386867
p026,7.98044371159276,-1.36616351307555,0.215781073073172,0.650690605593922,6.69151726732967,0.69140836470794
p027,6.65338001154273,-0.644656985185246,0.604640592638709,0.561814826452944,5.75420935703013,0.588852326001491
p028,3.70208229664698,0.490806544363678,0.865422261115025,0.0957529271126213,2.94107894090868,0.217786268056034
p029,2.94892214840545,0.676914631767881,0.887686623585362,0.150284962003823,2.38936650827104,0.207879066924972
p030,8.23459166281753,-1.51927056321399,0.301805802301308,0.696665495652627,6.95971527246851,0.719799945220781
p031,3.89589709627547,0.436095409477726,0.85122937572475,-0.0243483065657372,2.74267005761277,0.177045637192227
p032,4.51085174500272,0.24402439189942,0.876730132489015,0.333369782404521,4.13560576409728,0.355620932887448
p033,8.29141842540669,-1.55416141759519,0.247348159160325,0.69888810810034,6.96779260463142,0.725901320219543
p034,3.39408693036996,0.572007066563377,0.848786587401651,-0.107484532457398,2.55046389565108,0.178389249692153
p035,2.84254754737436,0.699803135774402,0.876560317277046,0.0679213618860347,2.37902167270492,0.195622089487281
p036,7.31054182356007,-0.985591055337787,0.643730597493227,0.633578123032636,6.35072981909552,0.643739014409005
p037,9.47988288175984,-2.3388477779692,0.511359265220424,0.854886793049165,8.43150073890899,0.857111764009058
p038,2.98955069795441,0.667950736600557,0.845688482547723,0.176253716433806,2.43492523756203,0.230216411565528
p039,3.37042840350063,0.577952931782973,0.887141538430712,0.206033345097172,2.98708691455725,0.266523129311611
p040,5.73715637585518,-0.22288058668862,0.53445099399353,0.396679376696231,4.21389348498009,0.450499770340148
p041,7.32673094233947,-0.994394934056764,0.485012623299465,0.617259601005081,6.26458377826222,0.641567605312158
p042,4.34731005060261,0.297846756903644,0.811904064435954,-0.092308563697812,3.23491997445479,0.213376479577585
p043,3.86902402698346,0.443847966978742,0.855130226213829,0.22778277326527,3.18357855869539,0.283843850729553
p044,4.36591485934882,0.291824007268699,0.772613926924849,0.335155484112216,3.66068777252002,0.369169418601083
p045,3.08482828875138,0.646448515307894,0.856425577075853,0.0824358911563015,2.59576996787446,0.214560227837727
p046,2.11595163824566,0.833657911356762,0.921545405888852,-0.0276963602774812,1.67273346847639,0.12501615685189
p047,8.63278042700702,-1.76880305440124,0.606377712998131,0.777732758444316,7.64303379045538,0.781706559702171
p048,2.72818745823224,0.723472013215525,0.869893627871706,-0.00688282316864104,2.09551412793526,0.160456581526916
p049,4.78080049671947,0.150835328612469,0.809381215510083,0.395281100342535,4.25969735992906,0.410305095473457
p050,3.7086416301069,0.48900057233216,0.833068918741863,0.250552129322779,3.19763916119619,0.310548702398135
