par_id,rmse,nse,r,bias,mae,nmae
p0001,2.51948686089668,0.885688528325482,0.953034424788718,0.374134747075292,2.05431131041896,0.303951368097109
p0002,4.49053690709936,0.636869974136624,0.878031140127256,0.275300146685331,3.68513965393461,0.442020734596073
p0003,4.37132036908455,0.655895071041912,0.863934357729766,-0.564718278922108,3.48344969568043,0.456221321963212
p0004,2.29565841014052,0.905096953749344,0.980527150186283,1.52066765353465,1.97536566633337,0.29499954008083
p0005,6.16879881040852,0.314721931406529,0.806141181331239,-4.31356383407659,4.60446648381162,0.62363149758714
p0006,6.31397521787761,0.282087746183846,0.728095417410234,-2.96758612528747,4.57599333756624,0.78368614676719
p0007,6.11669647261801,0.32624891035433,0.744075689203477,-2.78817904759524,4.40269386311369,0.73279782221356
p0008,3.33300546582047,0.799950407058137,0.916272839187238,0.367066544445556,2.773671730027,0.495834308161471
p0009,5.2798546364619,0.497993255539113,0.814524751490081,-2.0342980270473,3.84725023922608,0.462310124241594
p0010,6.57858683164759,0.22065304475504,0.726961877200082,-0.99158546280372,5.50274730961904,0.830433571498667
p0011,3.61027164074004,0.765282549005853,0.927099030445089,-2.27070549025097,2.44882556534347,0.38298136880156
p0012,4.28351444722788,0.669580178458019,0.868661497013747,-1.32768343445655,3.11883900959904,0.420957904691962
p0013,4.27452915735355,0.670964931116805,0.884049890436621,-2.46084251124888,2.79840117438256,0.415557537090232
p0014,5.79076759646892,0.396137735374013,0.819098565595693,-3.9061023619638,4.22356430976902,0.621613516396121
p0015,4.31578427838868,0.664582994359758,0.867988465560664,-2.03683677717228,2.94446885906409,0.477314547183866
p0016,6.16845901232013,0.314797424147218,0.768262253216172,-0.557066635186481,5.09656488066193,0.719638096301954
p0017,5.78988959080007,0.396320838663253,0.787710910771621,-1.07753578262174,4.5770104429557,0.508045893706657
p0018,6.14468150150947,0.320069733003069,0.783066094463901,-3.91867355619438,4.28897926962304,0.581021561213794
p0019,4.06102766954089,0.703012946669841,0.939213021803259,-3.06338473307669,3.09644024582542,0.361116616268159
p0020,1.50234348840644,0.959355283540368,0.981404660920327,0.188304401559844,1.1573865220478,0.220085614937181
p0021,4.97552315434032,0.554196859521753,0.842248181583274,-2.90937978252175,3.36661553894611,0.568017321998714
p0022,4.01246469507095,0.710073395965187,0.90069651619892,0.605133128487151,3.33659467913209,0.461435986774742
p0023,5.27102922211582,0.499670087592315,0.848922710940573,-3.45940817343266,3.62082522772723,0.419537479196761
p0024,4.34473021195786,0.660068627240734,0.873864217203458,-2.03436978632137,2.89537855024498,0.344519852015841
p0025,2.44919485982469,0.891977978852086,0.953055282388804,0.36898898760124,2.00460971942806,0.345845135098128
p0026,4.27529508312299,0.670847005138228,0.877719654707168,-0.186288401109889,3.4253771670333,0.391530308049899
p0027,4.84631566820431,0.577050011102967,0.842997590405975,-2.58559410548945,3.2051789570043,0.48817659766254
p0028,5.22893312156167,0.507629760658223,0.814860445034926,-1.52764881166883,3.96618493985601,0.538002804693348
p0029,5.57596238171918,0.44010667417014,0.832495149054428,-3.7132762529747,3.90458770182982,0.472455523490181
p0030,3.63228248900522,0.762411807093558,0.897471823478869,-0.642129680331967,2.80918949425058,0.380021379765633
p0031,5.56833669167751,0.441637047989622,0.787250175816757,-0.610175880061994,4.59507209444056,0.795624982228759
p0032,6.45149051613527,0.250475649641888,0.727388491008045,-1.3504855330467,5.30446114048595,0.856329649857229
p0033,2.54720567356104,0.883159435357063,0.95016126583983,-1.02862947225277,1.78021598380162,0.279048290313084
